barrier_sequence,sequence_length,reward_path_lengths,choice_points
"[frozenset({7, 39, 46, 20, 23, 25, 26, 27, 30})]",1,"[[23, 17, 17]]",[{29}]
"[frozenset({34, 37, 39, 10, 11, 45, 15, 25, 27}), frozenset({34, 37, 10, 11, 45, 15, 25, 27, 30}), frozenset({34, 37, 10, 11, 45, 15, 19, 25, 27}), frozenset({34, 37, 10, 11, 45, 19, 25, 27, 30}), frozenset({34, 37, 10, 11, 45, 19, 24, 25, 27})]",5,"[[19, 15, 17], [19, 15, 21], [19, 17, 15], [19, 17, 23], [19, 21, 15]]","[{16, 24, 36}, {16}, {16, 35, 36}, {16}, {36}]"
"[frozenset({37, 10, 12, 45, 22, 23, 25, 28, 29})]",1,"[[17, 19, 15]]",[{36}]
"[frozenset({34, 35, 40, 9, 42, 10, 15, 22, 25}), frozenset({34, 35, 8, 40, 42, 10, 15, 22, 25})]",2,"[[15, 17, 19], [17, 15, 19]]","[{17}, {16}]"
"[frozenset({7, 44, 45, 14, 20, 25, 28, 30, 31}), frozenset({7, 44, 45, 14, 17, 20, 25, 28, 31})]",2,"[[15, 17, 21], [21, 17, 15]]","[{13}, {29}]"
"[frozenset({32, 35, 37, 9, 44, 14, 20, 28, 31})]",1,"[[17, 17, 23]]",[{13}]
"[frozenset({34, 7, 9, 10, 41, 18, 19, 25, 31}), frozenset({34, 37, 7, 41, 10, 9, 18, 19, 25}), frozenset({34, 37, 7, 41, 10, 18, 19, 21, 25})]",3,"[[15, 19, 21], [15, 19, 17], [23, 19, 17]]","[{17}, {17, 26, 35}, {35}]"
"[frozenset({34, 39, 8, 10, 45, 15, 20, 22, 31}), frozenset({34, 39, 8, 10, 45, 15, 22, 25, 31}), frozenset({34, 8, 10, 45, 15, 22, 25, 28, 31})]",3,"[[19, 21, 17], [19, 15, 17], [19, 17, 15]]","[{30}, {24}, {35}]"
"[frozenset({32, 34, 37, 40, 13, 15, 16, 18, 25}), frozenset({34, 37, 40, 13, 46, 15, 16, 18, 25}), frozenset({34, 37, 40, 13, 14, 15, 46, 18, 25}), frozenset({34, 37, 40, 10, 14, 15, 46, 18, 25}), frozenset({34, 37, 7, 40, 10, 46, 15, 18, 25}), frozenset({34, 37, 7, 40, 10, 15, 18, 21, 25})]",6,"[[17, 21, 17], [15, 21, 19], [21, 15, 19], [17, 15, 19], [15, 17, 19], [21, 17, 17]]","[{36}, {26}, {24}, {16, 24, 26}, {24, 17, 26}, {24}]"
"[frozenset({34, 7, 10, 42, 45, 18, 27, 28, 30})]",1,"[[15, 19, 19]]","[{17, 20, 21}]"
"[frozenset({42, 12, 44, 15, 16, 23, 26, 27, 30})]",1,"[[23, 17, 17]]",[{29}]
"[frozenset({32, 34, 7, 45, 14, 17, 20, 27, 28})]",1,"[[21, 19, 15]]",[{35}]
"[frozenset({35, 40, 9, 10, 42, 18, 20, 28, 31})]",1,"[[15, 19, 21]]",[{17}]
"[frozenset({34, 35, 37, 40, 10, 12, 18, 22, 25}), frozenset({34, 37, 40, 10, 12, 18, 22, 25, 31}), frozenset({34, 37, 40, 10, 42, 12, 18, 25, 31}), frozenset({34, 37, 40, 10, 42, 12, 18, 21, 25}), frozenset({34, 37, 40, 10, 42, 12, 18, 20, 25}), frozenset({34, 37, 40, 10, 12, 18, 20, 25, 27})]",6,"[[17, 17, 21], [21, 17, 17], [15, 17, 19], [23, 17, 19], [15, 21, 19], [17, 21, 17]]","[{17}, {24}, {17}, {24}, {26}, {36}]"
"[frozenset({32, 10, 44, 13, 46, 16, 19, 26, 30})]",1,"[[23, 17, 17]]",[{29}]
"[frozenset({34, 36, 7, 42, 11, 46, 17, 20, 23})]",1,"[[23, 19, 17]]",[{35}]
"[frozenset({39, 9, 10, 42, 15, 18, 19, 26, 30})]",1,"[[23, 17, 17]]",[{29}]
"[frozenset({7, 41, 44, 14, 46, 20, 23, 25, 31}), frozenset({7, 41, 44, 46, 14, 17, 20, 23, 31})]",2,"[[15, 17, 21], [23, 17, 17]]","[{13}, {29}]"
"[frozenset({7, 39, 42, 44, 13, 22, 24, 25, 30})]",1,"[[15, 21, 17]]",[{31}]
"[frozenset({34, 37, 7, 41, 11, 45, 16, 18, 25}), frozenset({32, 34, 37, 7, 11, 45, 16, 18, 25})]",2,"[[15, 19, 17], [17, 19, 15]]","[{26}, {36}]"
"[frozenset({32, 36, 39, 41, 11, 12, 15, 21, 24})]",1,"[[17, 17, 23]]",[{13}]
"[frozenset({32, 35, 37, 8, 40, 12, 16, 21, 27})]",1,"[[19, 23, 17]]",[{36}]
"[frozenset({32, 37, 8, 40, 11, 12, 16, 21, 29}), frozenset({32, 37, 8, 40, 11, 12, 21, 25, 29}), frozenset({32, 34, 37, 8, 40, 11, 12, 21, 25})]",3,"[[19, 23, 17], [19, 15, 23], [19, 15, 17]]","[{36}, {13}, {24, 36, 13}]"
"[frozenset({32, 36, 41, 10, 11, 21, 24, 27, 28})]",1,"[[19, 17, 23]]",[{16}]
"[frozenset({39, 42, 10, 12, 15, 18, 25, 27, 29}), frozenset({39, 10, 42, 14, 15, 18, 25, 27, 29})]",2,"[[15, 17, 19], [17, 15, 19]]","[{17}, {16}]"
"[frozenset({34, 37, 39, 8, 42, 13, 15, 21, 25})]",1,"[[21, 15, 19]]",[{24}]
"[frozenset({42, 10, 44, 15, 16, 18, 22, 25, 30})]",1,"[[15, 21, 17]]",[{31}]
"[frozenset({34, 10, 11, 44, 46, 15, 26, 27, 30})]",1,"[[21, 15, 19]]",[{24}]
"[frozenset({35, 37, 40, 9, 11, 20, 21, 27, 28}), frozenset({37, 40, 9, 11, 20, 21, 27, 28, 31}), frozenset({37, 40, 9, 11, 16, 20, 21, 27, 28}), frozenset({32, 37, 40, 9, 11, 20, 21, 27, 28})]",4,"[[19, 17, 25], [21, 17, 15], [19, 21, 15], [19, 17, 15]]","[{13}, {29}, {36}, {13, 36, 29}]"
"[frozenset({34, 36, 8, 41, 12, 46, 21, 23, 27})]",1,"[[17, 17, 23]]",[{13}]
"[frozenset({37, 41, 10, 9, 44, 15, 18, 25, 29}), frozenset({37, 41, 10, 9, 15, 18, 23, 25, 29}), frozenset({37, 41, 10, 9, 15, 18, 21, 23, 29}), frozenset({37, 39, 9, 10, 41, 15, 18, 21, 29})]",4,"[[15, 17, 19], [15, 19, 17], [21, 19, 17], [21, 17, 19]]","[{17}, {26}, {30}, {20}]"
"[frozenset({34, 37, 7, 40, 45, 14, 46, 16, 20})]",1,"[[15, 19, 19]]","[{26, 21, 30}]"
"[frozenset({37, 7, 9, 13, 45, 15, 22, 25, 28})]",1,"[[17, 19, 15]]",[{36}]
"[frozenset({32, 35, 37, 7, 39, 11, 16, 21, 29})]",1,"[[19, 23, 17]]",[{36}]
"[frozenset({35, 37, 7, 11, 44, 14, 20, 23, 28})]",1,"[[15, 17, 21]]",[{13}]
"[frozenset({35, 10, 11, 42, 44, 15, 22, 25, 29}), frozenset({35, 9, 10, 42, 44, 15, 22, 25, 29})]",2,"[[17, 15, 19], [15, 17, 19]]","[{16}, {17}]"
"[frozenset({39, 9, 10, 12, 44, 46, 18, 25, 31})]",1,"[[15, 17, 19]]",[{17}]
"[frozenset({32, 37, 40, 12, 13, 22, 25, 27, 28})]",1,"[[17, 19, 15]]",[{36}]
"[frozenset({7, 44, 46, 14, 20, 23, 26, 28, 30}), frozenset({37, 7, 44, 14, 46, 20, 23, 28, 30}), frozenset({37, 7, 44, 46, 15, 14, 20, 28, 30}), frozenset({36, 37, 7, 44, 14, 46, 20, 28, 30}), frozenset({36, 37, 7, 44, 46, 14, 17, 20, 28})]",5,"[[23, 17, 17], [15, 17, 19], [15, 21, 19], [15, 17, 21], [23, 17, 17]]","[{29}, {26, 13, 29}, {26}, {13}, {29}]"
"[frozenset({37, 40, 9, 45, 14, 17, 20, 28, 31})]",1,"[[21, 17, 15]]",[{29}]
"[frozenset({39, 42, 13, 15, 19, 21, 22, 27, 30}), frozenset({39, 42, 13, 15, 19, 20, 22, 27, 30})]",2,"[[21, 15, 17], [15, 21, 17]]","[{29}, {31}]"
"[frozenset({34, 36, 37, 39, 41, 10, 14, 15, 25}), frozenset({34, 37, 39, 41, 10, 14, 15, 20, 25}), frozenset({34, 37, 39, 41, 10, 14, 15, 17, 25}), frozenset({34, 37, 41, 10, 14, 15, 17, 19, 25}), frozenset({34, 37, 41, 10, 14, 15, 19, 25, 31}), frozenset({34, 37, 41, 10, 14, 15, 19, 20, 25})]",6,"[[17, 15, 19], [17, 23, 19], [21, 15, 19], [21, 17, 17], [17, 17, 21], [17, 21, 17]]","[{16}, {26}, {24}, {35}, {16}, {26}]"
"[frozenset({32, 35, 8, 9, 41, 20, 26, 27, 28})]",1,"[[17, 17, 23]]",[{13}]
"[frozenset({7, 10, 44, 46, 18, 20, 25, 28, 31}), frozenset({37, 7, 10, 44, 46, 18, 20, 25, 28}), frozenset({37, 7, 44, 46, 18, 20, 21, 25, 28})]",3,"[[15, 19, 21], [15, 19, 17], [23, 17, 17]]","[{17}, {17, 26, 29}, {29}]"
"[frozenset({39, 8, 42, 13, 19, 22, 26, 27, 30}), frozenset({39, 8, 42, 13, 19, 22, 24, 27, 30})]",2,"[[21, 15, 17], [17, 23, 17]]","[{29}, {31}]"
"[frozenset({37, 7, 10, 45, 16, 18, 25, 27, 28}), frozenset({37, 7, 10, 45, 46, 16, 18, 25, 28})]",2,"[[17, 19, 15], [15, 19, 17]]","[{36}, {26}]"
"[frozenset({34, 36, 41, 9, 17, 18, 20, 22, 23})]",1,"[[23, 19, 17]]",[{35}]
"[frozenset({32, 35, 8, 9, 44, 20, 21, 23, 28})]",1,"[[17, 17, 23]]",[{13}]
"[frozenset({34, 8, 9, 42, 44, 12, 18, 21, 30}), frozenset({34, 8, 9, 42, 12, 44, 21, 27, 30}), frozenset({34, 8, 42, 12, 44, 16, 21, 27, 30}), frozenset({34, 8, 42, 12, 44, 21, 27, 29, 30}), frozenset({34, 8, 42, 12, 44, 16, 21, 27, 29})]",5,"[[21, 15, 19], [17, 15, 19], [17, 25, 19], [17, 15, 21], [17, 23, 17]]","[{24}, {24, 13, 31}, {31}, {13}, {31}]"
"[frozenset({32, 34, 10, 44, 45, 13, 15, 25, 31}), frozenset({32, 34, 10, 45, 13, 15, 19, 25, 31})]",2,"[[19, 15, 17], [19, 17, 15]]","[{24}, {35}]"
"[frozenset({37, 9, 10, 45, 13, 15, 22, 25, 28})]",1,"[[17, 19, 15]]",[{36}]
"[frozenset({34, 37, 7, 44, 46, 15, 14, 20, 25})]",1,"[[15, 21, 19]]",[{26}]
"[frozenset({32, 34, 11, 12, 45, 46, 16, 21, 28})]",1,"[[17, 21, 15]]",[{31}]
"[frozenset({32, 34, 37, 8, 44, 45, 15, 25, 31}), frozenset({32, 34, 37, 8, 45, 15, 25, 28, 31})]",2,"[[19, 15, 17], [19, 17, 15]]","[{24}, {35}]"
"[frozenset({35, 37, 7, 10, 44, 20, 22, 27, 28})]",1,"[[17, 19, 23]]",[{17}]
"[frozenset({32, 34, 37, 10, 45, 14, 19, 25, 27}), frozenset({34, 37, 10, 45, 14, 19, 25, 27, 30}), frozenset({34, 37, 10, 45, 14, 19, 24, 25, 27}), frozenset({34, 37, 41, 10, 45, 14, 19, 24, 25}), frozenset({34, 37, 41, 10, 45, 14, 19, 21, 25}), frozenset({34, 36, 37, 41, 10, 45, 14, 19, 25})]",6,"[[19, 17, 15], [19, 17, 23], [19, 21, 15], [17, 21, 17], [21, 17, 17], [17, 17, 21]]","[{16, 35, 36}, {16}, {36}, {26}, {35}, {16}]"
"[frozenset({37, 7, 44, 46, 14, 18, 20, 21, 28}), frozenset({37, 7, 44, 14, 46, 18, 20, 28, 30}), frozenset({37, 7, 44, 46, 15, 14, 20, 28, 30}), frozenset({36, 37, 7, 44, 14, 46, 20, 28, 30})]",4,"[[23, 17, 17], [15, 17, 19], [15, 21, 19], [15, 17, 21]]","[{29}, {26, 13, 29}, {26}, {13}]"
"[frozenset({10, 44, 13, 46, 17, 22, 24, 28, 30})]",1,"[[17, 23, 17]]",[{31}]
"[frozenset({37, 7, 39, 10, 46, 16, 18, 25, 30}), frozenset({37, 7, 39, 10, 46, 18, 19, 25, 30}), frozenset({7, 39, 10, 46, 18, 19, 21, 25, 30}), frozenset({37, 39, 10, 46, 18, 19, 21, 25, 30}), frozenset({37, 39, 10, 46, 14, 18, 19, 25, 30}), frozenset({37, 39, 10, 46, 14, 19, 24, 25, 30})]",6,"[[15, 21, 19], [15, 17, 19], [23, 17, 17], [23, 15, 19], [17, 15, 19], [17, 23, 19]]","[{26}, {17, 26, 29}, {29}, {29}, {16, 26, 29}, {26}]"
"[frozenset({35, 37, 7, 40, 42, 11, 18, 20, 28}), frozenset({37, 7, 40, 42, 11, 18, 20, 21, 28})]",2,"[[15, 17, 21], [23, 17, 17]]","[{13}, {29}]"
"[frozenset({39, 8, 42, 10, 46, 19, 22, 24, 30}), frozenset({39, 8, 10, 42, 46, 19, 21, 22, 30})]",2,"[[17, 23, 17], [21, 15, 17]]","[{31}, {29}]"
"[frozenset({34, 39, 10, 14, 46, 15, 21, 26, 30})]",1,"[[21, 15, 19]]",[{24}]
"[frozenset({42, 10, 12, 45, 44, 18, 22, 25, 29})]",1,"[[15, 17, 19]]",[{17}]
"[frozenset({34, 37, 40, 10, 12, 44, 18, 25, 29}), frozenset({34, 37, 40, 10, 12, 44, 18, 21, 25})]",2,"[[15, 17, 19], [21, 17, 17]]","[{17}, {24}]"
"[frozenset({32, 41, 10, 11, 15, 20, 21, 27, 29}), frozenset({32, 41, 10, 11, 15, 21, 27, 29, 30})]",2,"[[19, 23, 15], [19, 15, 21]]","[{31}, {16}]"
"[frozenset({35, 9, 11, 44, 18, 20, 23, 27, 31})]",1,"[[17, 17, 23]]",[{13}]
"[frozenset({37, 40, 10, 42, 18, 23, 24, 25, 28}), frozenset({32, 37, 40, 10, 18, 23, 24, 25, 28})]",2,"[[15, 19, 17], [17, 19, 15]]","[{26}, {36}]"
"[frozenset({34, 37, 7, 42, 45, 18, 19, 20, 25}), frozenset({32, 34, 37, 7, 45, 18, 19, 20, 25})]",2,"[[15, 19, 17], [17, 19, 15]]","[{26}, {36}]"
"[frozenset({39, 9, 42, 13, 46, 19, 26, 27, 30})]",1,"[[23, 17, 17]]",[{29}]
"[frozenset({32, 37, 7, 11, 45, 18, 24, 25, 28}), frozenset({37, 7, 11, 45, 46, 18, 24, 25, 28})]",2,"[[17, 19, 15], [15, 19, 17]]","[{36}, {26}]"
"[frozenset({35, 37, 7, 11, 45, 20, 22, 27, 28})]",1,"[[17, 17, 23]]",[{13}]
"[frozenset({36, 8, 9, 11, 45, 21, 23, 27, 29})]",1,"[[17, 17, 23]]",[{13}]
"[frozenset({35, 37, 8, 11, 12, 44, 16, 21, 27})]",1,"[[19, 23, 17]]",[{36}]
"[frozenset({36, 7, 9, 41, 11, 20, 21, 23, 27})]",1,"[[17, 17, 23]]",[{13}]
"[frozenset({39, 10, 11, 13, 46, 15, 19, 25, 30})]",1,"[[21, 15, 17]]",[{29}]
"[frozenset({7, 44, 46, 18, 20, 21, 23, 25, 30})]",1,"[[23, 17, 17]]",[{29}]
"[frozenset({9, 42, 44, 18, 20, 22, 26, 28, 30}), frozenset({9, 10, 42, 44, 18, 20, 22, 28, 30}), frozenset({35, 9, 10, 42, 44, 20, 22, 28, 30}), frozenset({9, 42, 10, 44, 16, 20, 22, 28, 30}), frozenset({9, 10, 42, 44, 16, 22, 26, 28, 30})]",5,"[[23, 17, 17], [15, 19, 17], [15, 19, 21], [15, 21, 17], [23, 17, 17]]","[{29}, {17, 29, 31}, {17}, {31}, {29}]"
"[frozenset({32, 34, 8, 41, 19, 20, 21, 23, 28})]",1,"[[17, 21, 15]]",[{31}]
"[frozenset({32, 34, 8, 9, 45, 25, 26, 27, 28})]",1,"[[19, 17, 15]]",[{35}]
"[frozenset({39, 10, 42, 46, 18, 19, 21, 22, 30}), frozenset({39, 42, 10, 46, 18, 19, 22, 24, 30})]",2,"[[21, 15, 17], [15, 21, 17]]","[{29}, {31}]"
"[frozenset({34, 37, 45, 13, 15, 18, 20, 22, 25}), frozenset({34, 37, 41, 13, 45, 15, 18, 20, 25})]",2,"[[17, 19, 15], [15, 19, 17]]","[{36}, {26}]"
"[frozenset({34, 40, 8, 10, 45, 15, 21, 27, 30})]",1,"[[19, 15, 21]]",[{16}]
"[frozenset({37, 7, 9, 45, 19, 22, 25, 27, 29})]",1,"[[17, 19, 15]]",[{36}]
"[frozenset({39, 10, 42, 45, 14, 15, 18, 25, 29}), frozenset({39, 7, 42, 10, 45, 15, 18, 25, 29})]",2,"[[17, 15, 19], [15, 17, 19]]","[{16}, {17}]"
"[frozenset({36, 37, 7, 45, 14, 20, 23, 28, 30})]",1,"[[15, 17, 21]]",[{13}]
"[frozenset({37, 7, 10, 46, 18, 20, 28, 30, 31})]",1,"[[15, 19, 21]]",[{17}]
"[frozenset({32, 36, 8, 41, 12, 45, 46, 21, 29}), frozenset({32, 8, 41, 12, 45, 46, 16, 21, 29})]",2,"[[17, 15, 21], [17, 21, 15]]","[{13}, {31}]"
"[frozenset({37, 9, 42, 44, 17, 18, 20, 23, 28})]",1,"[[23, 17, 17]]",[{29}]
"[frozenset({32, 34, 37, 39, 11, 45, 15, 16, 21})]",1,"[[19, 23, 17]]",[{36}]
"[frozenset({34, 37, 40, 42, 45, 13, 14, 15, 25}), frozenset({34, 37, 40, 10, 42, 45, 14, 15, 25}), frozenset({32, 34, 37, 40, 10, 45, 14, 15, 25}), frozenset({32, 34, 37, 40, 10, 14, 15, 25, 29}), frozenset({32, 34, 37, 40, 10, 14, 15, 20, 25}), frozenset({34, 37, 40, 10, 42, 14, 15, 20, 25})]",6,"[[21, 15, 19], [17, 15, 19], [19, 15, 17], [19, 15, 21], [19, 23, 17], [17, 23, 19]]","[{24}, {16, 24, 26}, {16, 24, 36}, {16}, {36}, {26}]"
"[frozenset({32, 36, 7, 11, 45, 15, 21, 24, 29})]",1,"[[17, 17, 23]]",[{13}]
"[frozenset({32, 36, 7, 11, 44, 45, 20, 21, 23}), frozenset({32, 36, 7, 11, 44, 45, 17, 20, 23})]",2,"[[17, 17, 23], [23, 17, 17]]","[{13}, {29}]"
"[frozenset({32, 34, 37, 8, 40, 10, 15, 25, 31}), frozenset({32, 34, 37, 8, 40, 10, 15, 25, 29}), frozenset({32, 34, 37, 8, 40, 10, 15, 20, 25})]",3,"[[19, 15, 17], [19, 15, 21], [19, 23, 17]]","[{24}, {16}, {36}]"
"[frozenset({34, 7, 45, 14, 20, 21, 23, 26, 31})]",1,"[[21, 19, 15]]",[{35}]
"[frozenset({39, 7, 42, 10, 16, 20, 22, 27, 30})]",1,"[[15, 21, 17]]",[{31}]
"[frozenset({32, 7, 9, 41, 11, 21, 25, 28, 29}), frozenset({32, 36, 7, 41, 9, 11, 21, 28, 29})]",2,"[[17, 21, 15], [17, 17, 23]]","[{31}, {13}]"
"[frozenset({39, 42, 13, 14, 15, 17, 19, 21, 30})]",1,"[[21, 15, 17]]",[{29}]
"[frozenset({34, 37, 7, 9, 10, 45, 13, 22, 25})]",1,"[[17, 19, 15]]",[{36}]
"[frozenset({35, 7, 40, 14, 18, 20, 27, 28, 31}), frozenset({7, 40, 14, 18, 20, 25, 27, 28, 31}), frozenset({7, 40, 14, 46, 18, 20, 25, 28, 31}), frozenset({7, 40, 46, 14, 17, 18, 20, 28, 31})]",4,"[[17, 17, 23], [21, 17, 15], [15, 17, 21], [23, 17, 17]]","[{13}, {29}, {13}, {29}]"
"[frozenset({34, 37, 9, 13, 45, 18, 19, 27, 30}), frozenset({34, 37, 8, 13, 45, 18, 19, 27, 30}), frozenset({34, 37, 8, 13, 45, 18, 19, 25, 27}), frozenset({34, 37, 13, 45, 18, 19, 20, 25, 27}), frozenset({34, 37, 45, 13, 46, 18, 19, 20, 25}), frozenset({34, 37, 13, 45, 46, 17, 18, 19, 25})]",6,"[[17, 19, 21], [19, 17, 21], [19, 17, 15], [17, 19, 15], [15, 19, 17], [21, 17, 17]]","[{21}, {20}, {35}, {36}, {26}, {35}]"
"[frozenset({36, 39, 8, 10, 42, 15, 21, 24, 27}), frozenset({39, 8, 42, 10, 15, 21, 24, 27, 30}), frozenset({34, 39, 8, 10, 42, 15, 21, 27, 30}), frozenset({34, 39, 8, 10, 42, 15, 20, 27, 30}), frozenset({34, 39, 8, 10, 42, 15, 26, 27, 30})]",5,"[[19, 17, 23], [19, 25, 17], [19, 15, 19], [17, 25, 19], [21, 15, 19]]","[{16}, {31}, {16, 24, 31}, {31}, {24}]"
"[frozenset({32, 34, 8, 41, 15, 16, 21, 23, 27})]",1,"[[17, 21, 15]]",[{31}]
"[frozenset({32, 35, 7, 11, 44, 20, 26, 28, 31})]",1,"[[17, 17, 23]]",[{13}]
"[frozenset({37, 40, 8, 10, 18, 20, 22, 24, 28})]",1,"[[19, 19, 15]]","[{36, 21, 30}]"
"[frozenset({37, 10, 12, 45, 13, 15, 22, 25, 29}), frozenset({37, 40, 10, 12, 45, 15, 22, 25, 29}), frozenset({37, 8, 40, 10, 45, 15, 22, 25, 29}), frozenset({37, 8, 10, 45, 15, 19, 22, 25, 29}), frozenset({34, 37, 8, 10, 45, 15, 19, 22, 25}), frozenset({34, 37, 40, 8, 10, 45, 15, 22, 25})]",6,"[[17, 19, 15], [17, 17, 21], [19, 15, 21], [19, 21, 15], [19, 17, 15], [19, 15, 17]]","[{36}, {17}, {16}, {36}, {16, 35, 36}, {16, 24, 36}]"
"[frozenset({32, 35, 37, 8, 9, 44, 16, 21, 29})]",1,"[[19, 23, 17]]",[{36}]
"[frozenset({32, 34, 8, 40, 45, 13, 15, 17, 25}), frozenset({32, 34, 8, 13, 45, 15, 17, 19, 25})]",2,"[[19, 15, 17], [19, 17, 15]]","[{24}, {35}]"
"[frozenset({34, 37, 7, 40, 11, 44, 16, 22, 25})]",1,"[[17, 21, 17]]",[{36}]
"[frozenset({35, 39, 7, 9, 14, 20, 23, 27, 31})]",1,"[[17, 17, 23]]",[{13}]
"[frozenset({35, 39, 8, 10, 42, 11, 19, 22, 25})]",1,"[[17, 15, 19]]",[{16}]
"[frozenset({36, 37, 10, 45, 14, 15, 18, 25, 29}), frozenset({36, 37, 9, 10, 45, 15, 18, 25, 29})]",2,"[[17, 15, 19], [15, 17, 19]]","[{16}, {17}]"
"[frozenset({34, 36, 8, 9, 46, 15, 21, 25, 27})]",1,"[[17, 15, 21]]",[{13}]
"[frozenset({34, 10, 45, 15, 18, 25, 26, 28, 31}), frozenset({34, 40, 10, 45, 15, 18, 25, 26, 31})]",2,"[[19, 17, 15], [19, 15, 17]]","[{35}, {24}]"
"[frozenset({32, 8, 41, 19, 21, 24, 25, 27, 29})]",1,"[[17, 21, 15]]",[{31}]
"[frozenset({32, 36, 39, 10, 11, 45, 15, 21, 27})]",1,"[[19, 15, 21]]",[{16}]
"[frozenset({39, 9, 44, 46, 17, 22, 23, 24, 30}), frozenset({39, 9, 44, 46, 17, 20, 22, 23, 30})]",2,"[[17, 23, 17], [23, 17, 17]]","[{31}, {29}]"
"[frozenset({32, 34, 37, 8, 45, 19, 21, 25, 31}), frozenset({32, 34, 37, 8, 45, 19, 20, 21, 25})]",2,"[[19, 17, 15], [19, 21, 15]]","[{35}, {36}]"
"[frozenset({37, 39, 8, 42, 11, 13, 23, 24, 30})]",1,"[[17, 23, 19]]",[{26}]
"[frozenset({35, 9, 11, 44, 20, 22, 23, 26, 27})]",1,"[[17, 17, 23]]",[{13}]
"[frozenset({37, 39, 10, 46, 14, 19, 20, 24, 30})]",1,"[[17, 23, 19]]",[{26}]
"[frozenset({37, 39, 9, 10, 12, 15, 18, 25, 29})]",1,"[[15, 17, 19]]",[{17}]
"[frozenset({32, 34, 8, 41, 12, 45, 16, 21, 28}), frozenset({32, 34, 36, 8, 41, 12, 45, 21, 28})]",2,"[[17, 21, 15], [17, 17, 23]]","[{31}, {13}]"
"[frozenset({36, 39, 9, 42, 10, 18, 19, 22, 25}), frozenset({36, 39, 10, 42, 14, 18, 19, 22, 25})]",2,"[[15, 17, 19], [17, 15, 19]]","[{17}, {16}]"
"[frozenset({32, 37, 8, 40, 12, 16, 21, 27, 29}), frozenset({32, 37, 8, 40, 12, 21, 25, 27, 29}), frozenset({32, 34, 37, 8, 40, 12, 21, 25, 27})]",3,"[[19, 23, 17], [19, 15, 23], [19, 15, 17]]","[{36}, {13}, {24, 36, 13}]"
"[frozenset({37, 11, 45, 20, 21, 23, 24, 27, 28})]",1,"[[19, 21, 15]]",[{36}]
