barrier_sequence,sequence_length,reward_path_lengths,choice_points
"[frozenset({39, 8, 13, 46, 18, 19, 24, 27, 30}), frozenset({39, 8, 13, 46, 18, 19, 25, 27, 30})]",2,"[[17, 23, 17], [21, 15, 17]]","[{31}, {29}]"
"[frozenset({35, 7, 10, 42, 45, 18, 20, 23, 26})]",1,"[[17, 19, 23]]",[{17}]
"[frozenset({32, 34, 8, 10, 45, 15, 21, 29, 30})]",1,"[[19, 15, 21]]",[{16}]
"[frozenset({39, 7, 11, 44, 46, 16, 21, 27, 30})]",1,"[[17, 23, 17]]",[{31}]
"[frozenset({39, 8, 42, 11, 17, 19, 24, 27, 30})]",1,"[[17, 23, 17]]",[{31}]
"[frozenset({34, 37, 41, 10, 9, 18, 20, 21, 23}), frozenset({34, 37, 9, 10, 41, 18, 20, 23, 25}), frozenset({34, 37, 9, 10, 41, 18, 23, 25, 31})]",3,"[[25, 21, 17], [15, 19, 17], [15, 19, 21]]","[{35}, {26}, {17}]"
"[frozenset({34, 7, 10, 45, 22, 23, 25, 27, 31}), frozenset({34, 37, 7, 10, 45, 22, 23, 25, 27}), frozenset({34, 37, 7, 10, 45, 22, 23, 25, 30})]",3,"[[21, 19, 15], [17, 19, 15], [17, 19, 23]]","[{35}, {17, 35, 36}, {17}]"
"[frozenset({32, 40, 9, 8, 17, 20, 23, 28, 31}), frozenset({32, 35, 8, 40, 9, 20, 23, 28, 31})]",2,"[[21, 17, 15], [17, 17, 23]]","[{29}, {13}]"
"[frozenset({34, 37, 40, 11, 44, 13, 15, 25, 31})]",1,"[[19, 15, 17]]",[{24}]
"[frozenset({32, 34, 40, 44, 13, 15, 18, 21, 25})]",1,"[[19, 15, 17]]",[{24}]
"[frozenset({34, 40, 10, 42, 12, 22, 25, 27, 29})]",1,"[[15, 17, 19]]",[{17}]
"[frozenset({34, 37, 39, 8, 9, 42, 12, 17, 21})]",1,"[[19, 15, 19]]","[{24, 20, 30}]"
"[frozenset({34, 10, 42, 44, 15, 21, 26, 27, 30})]",1,"[[21, 15, 19]]",[{24}]
"[frozenset({32, 35, 37, 7, 10, 44, 20, 23, 31})]",1,"[[17, 19, 23]]",[{17}]
"[frozenset({39, 9, 42, 44, 13, 20, 22, 27, 30})]",1,"[[15, 21, 17]]",[{31}]
"[frozenset({34, 37, 12, 13, 45, 46, 18, 25, 28}), frozenset({34, 37, 12, 13, 45, 18, 22, 25, 28}), frozenset({34, 37, 12, 45, 13, 18, 22, 28, 30})]",3,"[[15, 19, 17], [17, 19, 15], [17, 19, 21]]","[{26}, {36}, {21}]"
"[frozenset({34, 37, 40, 8, 45, 15, 17, 25, 31}), frozenset({34, 37, 8, 45, 15, 17, 23, 25, 31})]",2,"[[19, 15, 17], [19, 17, 15]]","[{24}, {35}]"
"[frozenset({37, 7, 41, 16, 18, 20, 24, 25, 29})]",1,"[[15, 19, 17]]",[{26}]
"[frozenset({34, 40, 11, 46, 15, 16, 21, 27, 29})]",1,"[[17, 23, 17]]",[{31}]
"[frozenset({34, 39, 7, 9, 42, 13, 26, 27, 30})]",1,"[[23, 17, 19]]",[{24}]
"[frozenset({32, 35, 8, 40, 12, 46, 15, 16, 21})]",1,"[[17, 23, 17]]",[{31}]
"[frozenset({34, 37, 10, 42, 44, 45, 14, 15, 20}), frozenset({34, 37, 10, 44, 45, 14, 15, 20, 26}), frozenset({34, 37, 10, 44, 45, 14, 15, 25, 26}), frozenset({34, 37, 10, 45, 14, 15, 19, 25, 26}), frozenset({34, 37, 10, 45, 14, 15, 19, 25, 30}), frozenset({34, 37, 10, 45, 14, 15, 25, 27, 30})]",6,"[[17, 21, 19], [19, 21, 17], [19, 15, 17], [19, 17, 15], [17, 17, 21], [19, 15, 21]]","[{26, 21, 30}, {30}, {24}, {35}, {16}, {16}]"
"[frozenset({7, 42, 44, 14, 17, 18, 20, 23, 31}), frozenset({7, 42, 44, 14, 18, 20, 23, 30, 31}), frozenset({7, 42, 44, 14, 17, 18, 20, 23, 30}), frozenset({37, 7, 42, 44, 14, 18, 20, 23, 30}), frozenset({37, 7, 42, 44, 14, 18, 23, 24, 30})]",5,"[[23, 17, 17], [15, 17, 21], [23, 17, 17], [15, 17, 19], [15, 21, 19]]","[{29}, {13}, {29}, {26, 13, 29}, {26}]"
"[frozenset({35, 37, 39, 10, 46, 14, 15, 19, 25})]",1,"[[17, 15, 19]]",[{16}]
"[frozenset({35, 40, 9, 10, 42, 20, 22, 26, 28})]",1,"[[17, 19, 23]]",[{17}]
"[frozenset({32, 34, 39, 8, 45, 15, 17, 25, 27}), frozenset({32, 34, 8, 45, 15, 17, 23, 25, 27})]",2,"[[19, 15, 17], [19, 17, 15]]","[{24}, {35}]"
"[frozenset({32, 34, 36, 8, 9, 11, 12, 46, 21})]",1,"[[17, 15, 21]]",[{13}]
"[frozenset({34, 39, 10, 42, 15, 16, 22, 26, 30}), frozenset({34, 39, 10, 42, 15, 16, 22, 25, 30}), frozenset({34, 39, 10, 42, 15, 21, 22, 25, 30}), frozenset({34, 39, 9, 10, 42, 15, 22, 25, 30}), frozenset({34, 39, 8, 10, 42, 15, 22, 25, 30}), frozenset({34, 39, 8, 10, 42, 15, 20, 22, 30})]",6,"[[23, 17, 19], [15, 23, 19], [21, 15, 19], [15, 17, 19], [17, 15, 19], [17, 25, 19]]","[{24}, {31}, {24}, {24, 17, 31}, {16, 24, 31}, {31}]"
"[frozenset({37, 7, 42, 44, 14, 17, 20, 25, 28}), frozenset({37, 7, 42, 44, 14, 20, 25, 28, 31}), frozenset({37, 7, 42, 44, 14, 16, 20, 25, 28}), frozenset({37, 7, 42, 44, 14, 20, 25, 28, 30}), frozenset({7, 42, 44, 14, 20, 21, 25, 28, 30})]",5,"[[23, 17, 17], [15, 17, 21], [15, 19, 17], [15, 17, 19], [23, 17, 17]]","[{29}, {13}, {26}, {26, 13, 29}, {29}]"
"[frozenset({36, 39, 8, 42, 12, 46, 21, 24, 27}), frozenset({39, 8, 42, 12, 46, 21, 24, 27, 30}), frozenset({34, 39, 8, 42, 12, 46, 21, 27, 30}), frozenset({34, 39, 8, 12, 46, 18, 21, 27, 30}), frozenset({34, 35, 39, 8, 12, 46, 21, 27, 30}), frozenset({34, 35, 39, 8, 12, 46, 16, 21, 27})]",6,"[[17, 17, 23], [17, 23, 17], [17, 15, 19], [21, 15, 19], [17, 15, 21], [17, 23, 17]]","[{13}, {31}, {24, 13, 31}, {24}, {13}, {31}]"
"[frozenset({34, 10, 42, 45, 14, 19, 25, 27, 30})]",1,"[[17, 17, 21]]",[{16}]
"[frozenset({35, 7, 10, 42, 45, 20, 22, 23, 30})]",1,"[[15, 19, 21]]",[{17}]
"[frozenset({32, 8, 9, 41, 44, 46, 16, 21, 29})]",1,"[[17, 23, 17]]",[{31}]
"[frozenset({34, 37, 39, 8, 9, 42, 15, 17, 25})]",1,"[[21, 15, 19]]",[{24}]
"[frozenset({34, 37, 10, 11, 45, 13, 18, 19, 25}), frozenset({34, 37, 10, 11, 45, 18, 19, 25, 30}), frozenset({34, 37, 9, 10, 45, 18, 19, 25, 30}), frozenset({34, 37, 9, 10, 45, 18, 19, 25, 26}), frozenset({34, 37, 9, 10, 45, 18, 19, 25, 27}), frozenset({34, 37, 9, 10, 45, 46, 18, 19, 25})]",6,"[[19, 17, 15], [17, 17, 21], [15, 19, 21], [21, 19, 15], [17, 19, 15], [15, 19, 17]]","[{35}, {16}, {17}, {35}, {17, 35, 36}, {17, 26, 35}]"
"[frozenset({32, 39, 8, 11, 13, 46, 19, 26, 30}), frozenset({32, 39, 8, 11, 13, 46, 19, 24, 30})]",2,"[[21, 15, 17], [17, 23, 17]]","[{29}, {31}]"
"[frozenset({35, 40, 9, 11, 20, 23, 26, 27, 28})]",1,"[[17, 17, 23]]",[{13}]
"[frozenset({36, 39, 10, 11, 42, 15, 22, 25, 30}), frozenset({39, 10, 11, 42, 15, 20, 22, 25, 30}), frozenset({34, 39, 10, 42, 15, 20, 22, 25, 30}), frozenset({34, 39, 10, 42, 15, 21, 22, 25, 30}), frozenset({34, 39, 9, 10, 42, 15, 22, 25, 30}), frozenset({34, 39, 9, 10, 42, 15, 22, 26, 30})]",6,"[[17, 15, 19], [17, 23, 17], [15, 23, 19], [21, 15, 19], [15, 17, 19], [23, 17, 19]]","[{16}, {31}, {31}, {24}, {24, 17, 31}, {24}]"
"[frozenset({37, 10, 12, 45, 44, 18, 25, 29, 31})]",1,"[[15, 17, 19]]",[{17}]
"[frozenset({32, 34, 41, 11, 45, 21, 23, 24, 25})]",1,"[[17, 21, 15]]",[{31}]
"[frozenset({34, 40, 10, 44, 45, 15, 25, 27, 31})]",1,"[[19, 15, 17]]",[{24}]
"[frozenset({34, 37, 39, 8, 44, 13, 45, 15, 25})]",1,"[[19, 15, 17]]",[{24}]
"[frozenset({34, 35, 37, 10, 44, 12, 18, 25, 29})]",1,"[[15, 17, 19]]",[{17}]
"[frozenset({35, 7, 9, 11, 45, 20, 22, 26, 28})]",1,"[[17, 17, 23]]",[{13}]
"[frozenset({32, 11, 44, 46, 16, 19, 21, 27, 30}), frozenset({32, 11, 44, 46, 16, 19, 26, 27, 30})]",2,"[[17, 23, 17], [23, 17, 17]]","[{31}, {29}]"
"[frozenset({35, 36, 7, 41, 14, 20, 23, 30, 31})]",1,"[[15, 17, 21]]",[{13}]
"[frozenset({32, 39, 11, 46, 16, 19, 21, 25, 30}), frozenset({32, 39, 10, 11, 46, 19, 21, 25, 30}), frozenset({32, 39, 41, 10, 11, 46, 19, 21, 30}), frozenset({32, 39, 10, 11, 46, 17, 19, 21, 30}), frozenset({32, 39, 10, 11, 46, 17, 19, 24, 30})]",5,"[[17, 23, 17], [19, 15, 17], [19, 15, 21], [21, 15, 17], [17, 23, 17]]","[{31}, {16, 29, 31}, {16}, {29}, {31}]"
"[frozenset({34, 37, 41, 13, 14, 46, 17, 19, 25})]",1,"[[21, 17, 17]]",[{35}]
"[frozenset({7, 39, 10, 46, 21, 22, 23, 27, 30})]",1,"[[23, 17, 17]]",[{29}]
"[frozenset({39, 42, 11, 13, 15, 19, 22, 24, 30}), frozenset({39, 42, 11, 13, 15, 19, 22, 25, 30}), frozenset({39, 9, 42, 13, 15, 19, 22, 25, 30}), frozenset({39, 9, 42, 13, 15, 19, 22, 26, 30})]",4,"[[17, 23, 17], [21, 15, 17], [15, 21, 17], [23, 17, 17]]","[{31}, {29}, {31}, {29}]"
"[frozenset({39, 9, 42, 11, 14, 16, 23, 26, 30})]",1,"[[23, 17, 17]]",[{29}]
"[frozenset({34, 39, 42, 12, 13, 15, 18, 26, 30})]",1,"[[23, 17, 19]]",[{24}]
"[frozenset({32, 39, 10, 11, 15, 21, 27, 29, 30})]",1,"[[19, 15, 21]]",[{16}]
"[frozenset({32, 34, 36, 8, 40, 12, 44, 21, 27})]",1,"[[17, 15, 21]]",[{13}]
"[frozenset({39, 8, 42, 13, 15, 23, 25, 26, 30})]",1,"[[21, 15, 17]]",[{29}]
"[frozenset({36, 39, 10, 45, 14, 15, 18, 25, 31}), frozenset({36, 39, 9, 10, 45, 15, 18, 25, 31})]",2,"[[17, 15, 19], [15, 17, 19]]","[{16}, {17}]"
"[frozenset({34, 36, 10, 42, 12, 46, 18, 25, 29})]",1,"[[15, 17, 19]]",[{17}]
"[frozenset({35, 41, 11, 46, 15, 16, 21, 23, 27})]",1,"[[17, 23, 17]]",[{31}]
"[frozenset({32, 35, 37, 39, 7, 11, 20, 23, 31})]",1,"[[17, 17, 23]]",[{13}]
"[frozenset({34, 37, 7, 41, 14, 15, 18, 24, 25})]",1,"[[15, 19, 17]]",[{26}]
"[frozenset({32, 39, 10, 13, 46, 18, 19, 21, 30})]",1,"[[21, 15, 17]]",[{29}]
"[frozenset({39, 42, 10, 44, 15, 19, 22, 26, 30}), frozenset({39, 42, 10, 44, 15, 19, 22, 24, 30})]",2,"[[21, 15, 17], [15, 21, 17]]","[{29}, {31}]"
"[frozenset({39, 11, 44, 13, 46, 19, 26, 27, 30}), frozenset({39, 11, 44, 13, 46, 19, 24, 27, 30})]",2,"[[21, 15, 17], [17, 23, 17]]","[{29}, {31}]"
"[frozenset({34, 37, 40, 8, 11, 14, 15, 25, 26})]",1,"[[19, 15, 17]]",[{24}]
"[frozenset({32, 34, 8, 41, 46, 16, 19, 21, 24})]",1,"[[17, 21, 15]]",[{31}]
"[frozenset({34, 37, 41, 10, 15, 18, 24, 25, 29})]",1,"[[15, 19, 17]]",[{26}]
"[frozenset({34, 36, 7, 10, 42, 22, 23, 28, 30})]",1,"[[15, 19, 19]]","[{17, 20, 21}]"
"[frozenset({37, 7, 10, 45, 20, 22, 23, 25, 29}), frozenset({35, 37, 7, 10, 45, 20, 22, 23, 25})]",2,"[[17, 19, 15], [17, 19, 23]]","[{36}, {17}]"
"[frozenset({32, 34, 37, 40, 10, 45, 14, 15, 25}), frozenset({32, 34, 37, 40, 10, 14, 15, 20, 25}), frozenset({34, 37, 40, 10, 42, 14, 15, 20, 25}), frozenset({34, 37, 40, 10, 42, 14, 15, 21, 25}), frozenset({34, 37, 40, 10, 42, 14, 15, 18, 25}), frozenset({34, 37, 40, 10, 42, 15, 18, 20, 25})]",6,"[[19, 15, 17], [19, 23, 17], [17, 23, 19], [21, 15, 19], [17, 15, 19], [15, 21, 19]]","[{16, 24, 36}, {36}, {26}, {24}, {16, 24, 26}, {26}]"
"[frozenset({34, 37, 8, 45, 19, 22, 25, 27, 31})]",1,"[[19, 17, 15]]",[{35}]
"[frozenset({34, 8, 40, 10, 42, 15, 25, 27, 30})]",1,"[[17, 15, 19]]",[{16}]
"[frozenset({35, 37, 7, 39, 11, 20, 21, 23, 27}), frozenset({35, 37, 7, 39, 11, 16, 21, 23, 27})]",2,"[[19, 17, 25], [19, 23, 17]]","[{13}, {36}]"
"[frozenset({39, 9, 42, 10, 46, 22, 23, 24, 30}), frozenset({39, 9, 42, 10, 46, 21, 22, 23, 30}), frozenset({39, 9, 42, 10, 46, 20, 22, 23, 30}), frozenset({39, 9, 42, 46, 17, 20, 22, 23, 30}), frozenset({39, 9, 42, 46, 17, 22, 23, 24, 30})]",5,"[[15, 21, 17], [23, 17, 17], [15, 19, 17], [23, 17, 17], [17, 23, 17]]","[{31}, {29}, {17, 29, 31}, {29}, {31}]"
"[frozenset({34, 8, 40, 10, 44, 13, 15, 25, 31})]",1,"[[19, 15, 17]]",[{24}]
"[frozenset({32, 36, 40, 11, 12, 15, 21, 24, 27})]",1,"[[17, 17, 23]]",[{13}]
"[frozenset({37, 7, 39, 9, 12, 46, 14, 20, 30}), frozenset({37, 39, 7, 9, 14, 46, 20, 23, 30}), frozenset({7, 39, 9, 46, 14, 17, 20, 23, 30}), frozenset({39, 7, 9, 14, 46, 20, 23, 30, 31}), frozenset({7, 39, 9, 46, 14, 17, 20, 23, 31})]",5,"[[15, 21, 19], [15, 17, 19], [23, 17, 17], [15, 17, 21], [23, 17, 17]]","[{26}, {26, 13, 29}, {29}, {13}, {29}]"
"[frozenset({34, 10, 11, 44, 45, 15, 17, 25, 31}), frozenset({34, 10, 11, 45, 15, 17, 19, 25, 31})]",2,"[[19, 15, 17], [19, 17, 15]]","[{24}, {35}]"
"[frozenset({34, 11, 13, 45, 15, 17, 23, 25, 31}), frozenset({34, 39, 11, 13, 45, 15, 17, 25, 31})]",2,"[[19, 17, 15], [19, 15, 17]]","[{35}, {24}]"
"[frozenset({32, 37, 7, 9, 11, 45, 16, 21, 28})]",1,"[[19, 21, 15]]",[{36}]
"[frozenset({7, 10, 42, 44, 13, 16, 22, 25, 30})]",1,"[[15, 21, 17]]",[{31}]
"[frozenset({39, 10, 46, 19, 21, 25, 26, 27, 30})]",1,"[[21, 15, 17]]",[{29}]
"[frozenset({35, 36, 37, 7, 11, 44, 18, 20, 23})]",1,"[[15, 17, 21]]",[{13}]
"[frozenset({34, 8, 12, 45, 15, 22, 23, 25, 31}), frozenset({34, 40, 8, 12, 45, 15, 22, 25, 31})]",2,"[[19, 17, 15], [19, 15, 17]]","[{35}, {24}]"
"[frozenset({34, 37, 7, 42, 11, 44, 14, 16, 25})]",1,"[[15, 21, 19]]",[{26}]
"[frozenset({37, 7, 40, 17, 18, 20, 21, 27, 28})]",1,"[[21, 17, 15]]",[{29}]
"[frozenset({36, 39, 41, 11, 12, 45, 21, 24, 27})]",1,"[[17, 17, 23]]",[{13}]
"[frozenset({37, 40, 10, 12, 45, 16, 22, 25, 28})]",1,"[[17, 19, 15]]",[{36}]
"[frozenset({10, 42, 44, 13, 15, 18, 22, 24, 30})]",1,"[[15, 21, 17]]",[{31}]
"[frozenset({32, 11, 44, 13, 46, 15, 19, 24, 30})]",1,"[[17, 23, 17]]",[{31}]
"[frozenset({32, 34, 8, 12, 44, 45, 46, 20, 21}), frozenset({32, 34, 8, 12, 45, 46, 44, 21, 30}), frozenset({32, 34, 8, 12, 44, 46, 17, 21, 30}), frozenset({32, 34, 8, 12, 44, 46, 21, 27, 30}), frozenset({32, 8, 12, 44, 46, 21, 24, 27, 30}), frozenset({32, 36, 8, 12, 44, 46, 21, 24, 27})]",6,"[[17, 23, 17], [17, 15, 21], [21, 15, 19], [17, 15, 19], [17, 23, 17], [17, 17, 23]]","[{31}, {13}, {24}, {24, 13, 31}, {31}, {13}]"
"[frozenset({37, 10, 42, 45, 14, 23, 24, 25, 29}), frozenset({32, 37, 10, 45, 14, 23, 24, 25, 29})]",2,"[[17, 21, 17], [19, 21, 15]]","[{26}, {36}]"
"[frozenset({37, 41, 10, 11, 46, 18, 24, 25, 28})]",1,"[[17, 21, 17]]",[{26}]
"[frozenset({42, 10, 44, 15, 18, 20, 22, 28, 30})]",1,"[[15, 21, 17]]",[{31}]
"[frozenset({35, 39, 10, 42, 12, 18, 22, 25, 27})]",1,"[[15, 17, 19]]",[{17}]
"[frozenset({34, 37, 8, 45, 16, 19, 21, 25, 27}), frozenset({34, 37, 8, 10, 45, 19, 21, 25, 27}), frozenset({34, 37, 8, 10, 45, 19, 25, 27, 30}), frozenset({34, 37, 8, 10, 45, 19, 20, 25, 27})]",4,"[[19, 21, 15], [19, 17, 15], [19, 17, 23], [19, 21, 15]]","[{36}, {35}, {16}, {36}]"
"[frozenset({34, 37, 7, 45, 16, 18, 25, 27, 29}), frozenset({34, 37, 7, 42, 45, 16, 18, 25, 29})]",2,"[[17, 19, 15], [15, 19, 17]]","[{36}, {26}]"
"[frozenset({35, 7, 9, 10, 45, 20, 23, 26, 27})]",1,"[[17, 19, 23]]",[{17}]
"[frozenset({34, 36, 8, 10, 46, 21, 23, 27, 29})]",1,"[[19, 17, 23]]",[{16}]
"[frozenset({34, 37, 7, 10, 45, 22, 23, 25, 28}), frozenset({34, 37, 7, 10, 45, 22, 23, 25, 31}), frozenset({34, 37, 7, 10, 45, 22, 23, 25, 30})]",3,"[[17, 19, 15], [21, 19, 15], [17, 19, 23]]","[{17, 35, 36}, {35}, {17}]"
"[frozenset({34, 8, 11, 12, 45, 21, 23, 27, 30}), frozenset({34, 37, 8, 11, 12, 45, 21, 27, 30}), frozenset({34, 37, 8, 11, 12, 45, 20, 21, 27})]",3,"[[17, 17, 23], [19, 15, 23], [19, 21, 15]]","[{13}, {13}, {36}]"
"[frozenset({32, 37, 8, 40, 9, 45, 20, 21, 28}), frozenset({32, 37, 40, 9, 8, 12, 20, 21, 28}), frozenset({32, 35, 37, 8, 9, 40, 20, 21, 28}), frozenset({32, 37, 8, 40, 9, 20, 21, 28, 31}), frozenset({32, 35, 37, 40, 9, 8, 20, 28, 31})]",5,"[[19, 17, 15], [19, 21, 15], [19, 17, 25], [21, 17, 15], [17, 17, 23]]","[{13, 36, 29}, {36}, {13}, {29}, {13}]"
"[frozenset({37, 7, 10, 13, 45, 16, 22, 25, 28})]",1,"[[17, 19, 15]]",[{36}]
"[frozenset({34, 44, 12, 46, 15, 16, 26, 27, 30})]",1,"[[23, 17, 19]]",[{24}]
"[frozenset({35, 36, 7, 40, 45, 14, 20, 23, 31}), frozenset({36, 7, 40, 45, 14, 17, 20, 23, 31})]",2,"[[15, 17, 21], [23, 17, 17]]","[{13}, {29}]"
"[frozenset({32, 37, 7, 45, 15, 18, 25, 28, 29}), frozenset({37, 7, 41, 45, 15, 18, 25, 28, 29})]",2,"[[17, 19, 15], [15, 19, 17]]","[{36}, {26}]"
"[frozenset({34, 35, 37, 7, 11, 44, 16, 21, 27})]",1,"[[19, 23, 17]]",[{36}]
"[frozenset({39, 8, 42, 10, 17, 19, 25, 27, 30}), frozenset({36, 39, 8, 42, 10, 19, 25, 27, 30}), frozenset({39, 8, 10, 42, 19, 24, 25, 27, 30}), frozenset({39, 8, 10, 42, 19, 21, 25, 27, 30}), frozenset({39, 8, 42, 19, 20, 21, 25, 27, 30})]",5,"[[21, 15, 17], [17, 15, 19], [17, 23, 17], [19, 15, 17], [17, 23, 17]]","[{29}, {16}, {31}, {16, 29, 31}, {31}]"
"[frozenset({32, 35, 7, 10, 45, 20, 23, 27, 31})]",1,"[[17, 19, 23]]",[{17}]
"[frozenset({32, 34, 8, 40, 44, 45, 12, 21, 30})]",1,"[[17, 15, 21]]",[{13}]
"[frozenset({34, 8, 42, 12, 44, 22, 26, 27, 30})]",1,"[[21, 15, 19]]",[{24}]
"[frozenset({37, 7, 40, 9, 11, 17, 20, 23, 28})]",1,"[[21, 17, 15]]",[{29}]
"[frozenset({37, 39, 10, 42, 14, 15, 18, 24, 30})]",1,"[[17, 23, 19]]",[{26}]
"[frozenset({37, 7, 41, 44, 13, 46, 18, 25, 28})]",1,"[[15, 19, 17]]",[{26}]
"[frozenset({34, 37, 10, 12, 45, 18, 25, 27, 28}), frozenset({34, 37, 10, 12, 45, 18, 21, 25, 28}), frozenset({34, 37, 40, 10, 12, 45, 18, 21, 25}), frozenset({34, 37, 40, 10, 12, 45, 46, 18, 25}), frozenset({34, 37, 40, 10, 12, 46, 18, 20, 25}), frozenset({34, 37, 40, 10, 12, 18, 20, 25, 27})]",6,"[[17, 19, 15], [21, 19, 15], [21, 17, 17], [15, 17, 19], [15, 21, 19], [17, 21, 17]]","[{17, 35, 36}, {35}, {24}, {24, 17, 26}, {26}, {36}]"
"[frozenset({35, 7, 10, 42, 45, 18, 20, 27, 28})]",1,"[[15, 19, 21]]",[{17}]
"[frozenset({35, 8, 41, 45, 15, 16, 21, 23, 27})]",1,"[[17, 23, 17]]",[{31}]
"[frozenset({32, 34, 8, 40, 10, 45, 15, 20, 31}), frozenset({32, 34, 8, 40, 10, 45, 15, 25, 31}), frozenset({32, 34, 8, 10, 45, 15, 23, 25, 31})]",3,"[[19, 21, 17], [19, 15, 17], [19, 17, 15]]","[{30}, {24}, {35}]"
"[frozenset({32, 34, 37, 7, 40, 15, 18, 20, 25}), frozenset({34, 37, 7, 40, 46, 15, 18, 20, 25}), frozenset({34, 37, 7, 40, 10, 46, 15, 18, 25}), frozenset({34, 37, 40, 10, 46, 15, 18, 21, 25}), frozenset({34, 37, 40, 10, 11, 46, 15, 18, 25}), frozenset({32, 34, 37, 40, 10, 11, 15, 18, 25})]",6,"[[17, 21, 17], [15, 21, 19], [15, 17, 19], [21, 15, 19], [17, 15, 19], [19, 15, 17]]","[{36}, {26}, {24, 17, 26}, {24}, {16, 24, 26}, {16, 24, 36}]"
"[frozenset({35, 8, 45, 46, 16, 19, 21, 23, 27})]",1,"[[17, 23, 17]]",[{31}]
"[frozenset({34, 37, 10, 45, 14, 13, 15, 25, 28}), frozenset({34, 37, 40, 10, 45, 13, 14, 15, 25}), frozenset({34, 37, 40, 41, 10, 45, 14, 15, 25}), frozenset({34, 37, 41, 10, 45, 14, 15, 20, 25}), frozenset({32, 34, 37, 10, 45, 14, 15, 20, 25}), frozenset({32, 34, 35, 37, 10, 45, 14, 15, 25})]",6,"[[19, 17, 15], [19, 15, 17], [17, 15, 19], [17, 21, 17], [19, 21, 15], [19, 15, 21]]","[{35}, {24}, {16, 24, 26}, {26}, {36}, {16}]"
"[frozenset({34, 37, 11, 13, 45, 17, 19, 23, 25})]",1,"[[19, 17, 15]]",[{35}]
"[frozenset({39, 9, 44, 13, 46, 19, 22, 26, 30})]",1,"[[23, 17, 17]]",[{29}]
"[frozenset({35, 37, 7, 40, 10, 20, 22, 23, 25}), frozenset({37, 7, 40, 10, 20, 22, 23, 25, 28}), frozenset({37, 7, 40, 17, 20, 22, 23, 25, 28})]",3,"[[17, 19, 23], [17, 19, 15], [21, 17, 15]]","[{17}, {17, 36, 29}, {29}]"
"[frozenset({34, 39, 8, 42, 11, 15, 21, 22, 30})]",1,"[[21, 15, 19]]",[{24}]
"[frozenset({32, 34, 8, 41, 12, 44, 15, 17, 25}), frozenset({32, 34, 8, 41, 12, 15, 17, 23, 25})]",2,"[[19, 15, 17], [19, 17, 15]]","[{24}, {35}]"
