barriers,len12,len13,len23,reward_path_lengths,path_length_difference,optimal_paths_12,optimal_paths_13,optimal_paths_23,optimal_paths_all,choice_points,num_choice_points,cycles,num_cycles,isomorphic_mazes
"{34, 5, 11, 45, 46, 14, 20, 25, 29}",15,15,15,"[15, 15, 15]",0,"[[1, 4, 6, 8, 10, 13, 17, 21, 26, 22, 27, 32, 38, 49, 2], [1, 4, 6, 8, 10, 13, 17, 21, 26, 31, 37, 32, 38, 49, 2], [1, 4, 6, 8, 10, 13, 17, 21, 26, 31, 37, 42, 47, 49, 2]]","[[1, 4, 6, 8, 10, 7, 9, 12, 15, 19, 23, 28, 33, 48, 3], [1, 4, 6, 8, 10, 13, 16, 12, 15, 19, 23, 28, 33, 48, 3]]","[[2, 49, 38, 32, 37, 31, 36, 30, 35, 40, 44, 39, 43, 48, 3], [2, 49, 47, 42, 37, 31, 36, 30, 35, 40, 44, 39, 43, 48, 3]]","[[1, 4, 6, 8, 10, 13, 17, 21, 26, 22, 27, 32, 38, 49, 2], [1, 4, 6, 8, 10, 13, 17, 21, 26, 31, 37, 32, 38, 49, 2], [1, 4, 6, 8, 10, 13, 17, 21, 26, 31, 37, 42, 47, 49, 2], [1, 4, 6, 8, 10, 7, 9, 12, 15, 19, 23, 28, 33, 48, 3], [1, 4, 6, 8, 10, 13, 16, 12, 15, 19, 23, 28, 33, 48, 3], [2, 49, 38, 32, 37, 31, 36, 30, 35, 40, 44, 39, 43, 48, 3], [2, 49, 47, 42, 37, 31, 36, 30, 35, 40, 44, 39, 43, 48, 3]]","{32, 48, 49, 10, 13, 31}",6,"[[32, 38, 49, 47, 42, 37], [26, 22, 27, 32, 37, 31], [33, 28, 23, 19, 15, 12, 16, 13, 17, 21, 26, 31, 36, 30, 35, 40, 44, 39, 43, 48], [10, 7, 9, 12, 16, 13]]",4,"{frozenset({37, 6, 9, 44, 45, 12, 21, 25, 31}), frozenset({34, 9, 15, 47, 22, 25, 27, 29, 30}), frozenset({38, 41, 10, 13, 46, 15, 21, 23, 25}), frozenset({37, 11, 43, 18, 19, 23, 25, 30, 31}), frozenset({33, 40, 10, 44, 13, 18, 20, 25, 27})}"
"{32, 33, 5, 11, 44, 46, 20, 21, 23, 27, 30}",17,17,17,"[17, 17, 17]",0,"[[1, 4, 6, 8, 10, 13, 17, 14, 18, 22, 26, 31, 37, 42, 47, 49, 2]]","[[1, 4, 6, 8, 10, 7, 9, 12, 15, 19, 24, 29, 34, 39, 43, 48, 3], [1, 4, 6, 8, 10, 13, 16, 12, 15, 19, 24, 29, 34, 39, 43, 48, 3]]","[[2, 49, 47, 42, 37, 31, 36, 41, 45, 40, 35, 29, 34, 39, 43, 48, 3]]","[[1, 4, 6, 8, 10, 13, 17, 14, 18, 22, 26, 31, 37, 42, 47, 49, 2], [1, 4, 6, 8, 10, 7, 9, 12, 15, 19, 24, 29, 34, 39, 43, 48, 3], [1, 4, 6, 8, 10, 13, 16, 12, 15, 19, 24, 29, 34, 39, 43, 48, 3], [2, 49, 47, 42, 37, 31, 36, 41, 45, 40, 35, 29, 34, 39, 43, 48, 3]]","{10, 29, 13, 31}",4,"[[24, 19, 15, 12, 16, 13, 17, 14, 18, 22, 26, 31, 36, 41, 45, 40, 35, 29], [10, 7, 9, 12, 16, 13]]",2,"{frozenset({8, 9, 43, 44, 11, 47, 20, 21, 23, 27, 30}), frozenset({7, 9, 43, 11, 46, 47, 20, 21, 23, 27, 30}), frozenset({38, 6, 39, 9, 11, 44, 46, 20, 21, 23, 30}), frozenset({33, 5, 9, 42, 11, 44, 46, 20, 21, 27, 30}), frozenset({38, 6, 9, 44, 46, 20, 21, 23, 27, 28, 30})}"
"{36, 6, 38, 44, 46, 15, 17, 22, 24, 28}",17,17,17,"[17, 17, 17]",0,"[[1, 4, 5, 7, 10, 13, 16, 20, 25, 21, 26, 31, 37, 42, 47, 49, 2], [1, 4, 5, 7, 9, 12, 16, 20, 25, 21, 26, 31, 37, 42, 47, 49, 2]]","[[1, 4, 5, 7, 10, 13, 16, 20, 25, 30, 35, 29, 34, 39, 43, 48, 3], [1, 4, 5, 7, 9, 12, 16, 20, 25, 30, 35, 29, 34, 39, 43, 48, 3]]","[[2, 49, 47, 42, 37, 31, 26, 21, 25, 30, 35, 29, 34, 39, 43, 48, 3]]","[[1, 4, 5, 7, 10, 13, 16, 20, 25, 21, 26, 31, 37, 42, 47, 49, 2], [1, 4, 5, 7, 9, 12, 16, 20, 25, 21, 26, 31, 37, 42, 47, 49, 2], [1, 4, 5, 7, 10, 13, 16, 20, 25, 30, 35, 29, 34, 39, 43, 48, 3], [1, 4, 5, 7, 9, 12, 16, 20, 25, 30, 35, 29, 34, 39, 43, 48, 3], [2, 49, 47, 42, 37, 31, 26, 21, 25, 30, 35, 29, 34, 39, 43, 48, 3]]",{25},1,"[[13, 10, 7, 9, 12, 16]]",1,"{frozenset({35, 7, 41, 11, 43, 47, 15, 16, 26, 27}), frozenset({35, 38, 6, 39, 9, 45, 14, 16, 23, 26}), frozenset({33, 36, 5, 42, 11, 12, 45, 17, 24, 27}), frozenset({32, 33, 35, 5, 44, 46, 16, 18, 19, 26}), frozenset({36, 40, 9, 8, 43, 47, 17, 18, 23, 24})}"
"{34, 35, 37, 6, 12, 45, 13, 22, 30}",19,19,19,"[19, 19, 19]",0,"[[1, 4, 5, 7, 10, 8, 11, 14, 17, 21, 26, 31, 36, 41, 46, 42, 47, 49, 2]]","[[1, 4, 5, 7, 10, 8, 11, 14, 17, 21, 25, 20, 24, 19, 23, 28, 33, 48, 3]]","[[2, 49, 47, 42, 46, 41, 36, 31, 26, 21, 25, 20, 24, 19, 23, 28, 33, 48, 3]]","[[1, 4, 5, 7, 10, 8, 11, 14, 17, 21, 26, 31, 36, 41, 46, 42, 47, 49, 2], [1, 4, 5, 7, 10, 8, 11, 14, 17, 21, 25, 20, 24, 19, 23, 28, 33, 48, 3], [2, 49, 47, 42, 46, 41, 36, 31, 26, 21, 25, 20, 24, 19, 23, 28, 33, 48, 3]]",{21},1,[],0,"{frozenset({34, 40, 10, 47, 16, 15, 20, 22, 31}), frozenset({34, 38, 41, 10, 14, 15, 20, 24, 31}), frozenset({34, 36, 5, 37, 45, 14, 13, 19, 30}), frozenset({37, 41, 10, 43, 17, 18, 19, 21, 29}), frozenset({33, 37, 40, 10, 12, 18, 21, 26, 29})}"
"{32, 39, 10, 45, 15, 18, 23, 25}",15,15,15,"[15, 15, 15]",0,"[[1, 4, 6, 8, 11, 14, 17, 21, 26, 31, 37, 42, 47, 49, 2]]","[[1, 4, 5, 7, 9, 12, 16, 20, 24, 29, 34, 28, 33, 48, 3]]","[[2, 49, 47, 42, 37, 31, 36, 30, 35, 29, 34, 28, 33, 48, 3], [2, 49, 47, 42, 46, 41, 36, 30, 35, 29, 34, 28, 33, 48, 3]]","[[1, 4, 6, 8, 11, 14, 17, 21, 26, 31, 37, 42, 47, 49, 2], [1, 4, 5, 7, 9, 12, 16, 20, 24, 29, 34, 28, 33, 48, 3], [2, 49, 47, 42, 37, 31, 36, 30, 35, 29, 34, 28, 33, 48, 3], [2, 49, 47, 42, 46, 41, 36, 30, 35, 29, 34, 28, 33, 48, 3]]","{42, 4, 29, 31}",4,"[[31, 37, 42, 46, 41, 36], [24, 20, 16, 13, 17, 21, 26, 31, 36, 30, 35, 29], [14, 11, 8, 6, 4, 5, 7, 9, 12, 16, 13, 17]]",3,"{frozenset({37, 7, 39, 11, 45, 15, 18, 25}), frozenset({42, 10, 45, 15, 18, 25, 27, 28}), frozenset({37, 8, 44, 45, 15, 18, 25, 28}), frozenset({34, 8, 9, 42, 45, 15, 18, 25}), frozenset({32, 34, 7, 45, 46, 15, 18, 25})}"
"{37, 7, 12, 44, 18, 25, 28, 30, 31}",15,15,15,"[15, 15, 15]",0,"[[1, 4, 6, 8, 11, 14, 17, 21, 26, 22, 27, 32, 38, 49, 2], [1, 4, 6, 8, 10, 13, 17, 21, 26, 22, 27, 32, 38, 49, 2]]","[[1, 4, 6, 8, 10, 13, 16, 20, 24, 29, 34, 39, 43, 48, 3]]","[[2, 49, 47, 42, 46, 41, 45, 40, 35, 29, 34, 39, 43, 48, 3]]","[[1, 4, 6, 8, 11, 14, 17, 21, 26, 22, 27, 32, 38, 49, 2], [1, 4, 6, 8, 10, 13, 17, 21, 26, 22, 27, 32, 38, 49, 2], [1, 4, 6, 8, 10, 13, 16, 20, 24, 29, 34, 39, 43, 48, 3], [2, 49, 47, 42, 46, 41, 45, 40, 35, 29, 34, 39, 43, 48, 3]]","{8, 49, 29, 13}",4,"[[24, 20, 16, 13, 17, 21, 26, 22, 27, 32, 38, 49, 47, 42, 46, 41, 45, 40, 35, 29], [14, 11, 8, 10, 13, 17]]",2,"{frozenset({32, 34, 8, 9, 45, 20, 22, 25, 29}), frozenset({37, 7, 11, 45, 19, 21, 25, 28, 31}), frozenset({39, 41, 10, 42, 13, 18, 20, 23, 25}), frozenset({39, 40, 10, 42, 13, 15, 21, 25, 27}), frozenset({32, 34, 8, 46, 14, 15, 25, 29, 30})}"
"{33, 35, 6, 40, 12, 16, 22, 31}",17,17,17,"[17, 17, 17]",0,"[[1, 4, 5, 7, 10, 13, 17, 21, 25, 30, 36, 41, 46, 42, 47, 49, 2]]","[[1, 4, 5, 7, 10, 13, 17, 21, 25, 20, 24, 29, 34, 39, 43, 48, 3]]","[[2, 49, 47, 42, 46, 41, 36, 30, 25, 20, 24, 29, 34, 39, 43, 48, 3]]","[[1, 4, 5, 7, 10, 13, 17, 21, 25, 30, 36, 41, 46, 42, 47, 49, 2], [1, 4, 5, 7, 10, 13, 17, 21, 25, 20, 24, 29, 34, 39, 43, 48, 3], [2, 49, 47, 42, 46, 41, 36, 30, 25, 20, 24, 29, 34, 39, 43, 48, 3]]",{25},1,"[[29, 24, 19, 23, 28, 34], [37, 32, 38, 49, 47, 42], [14, 11, 8, 10, 13, 17]]",3,"{frozenset({36, 5, 38, 41, 14, 17, 19, 29}), frozenset({33, 35, 40, 12, 13, 47, 22, 26}), frozenset({5, 41, 43, 14, 17, 19, 24, 31}), frozenset({6, 40, 12, 47, 16, 22, 26, 29}), frozenset({36, 38, 41, 43, 13, 14, 19, 24})}"
"{34, 5, 42, 11, 13, 45, 19, 22, 30}",19,19,19,"[19, 19, 19]",0,"[[1, 4, 6, 8, 10, 7, 9, 12, 16, 20, 25, 21, 26, 31, 37, 32, 38, 49, 2]]","[[1, 4, 6, 8, 10, 7, 9, 12, 16, 20, 24, 29, 35, 40, 44, 39, 43, 48, 3]]","[[2, 49, 38, 32, 37, 31, 26, 21, 25, 20, 24, 29, 35, 40, 44, 39, 43, 48, 3]]","[[1, 4, 6, 8, 10, 7, 9, 12, 16, 20, 25, 21, 26, 31, 37, 32, 38, 49, 2], [1, 4, 6, 8, 10, 7, 9, 12, 16, 20, 24, 29, 35, 40, 44, 39, 43, 48, 3], [2, 49, 38, 32, 37, 31, 26, 21, 25, 20, 24, 29, 35, 40, 44, 39, 43, 48, 3]]",{20},1,[],0,"{frozenset({38, 40, 10, 46, 15, 14, 20, 28, 31}), frozenset({37, 6, 39, 9, 13, 45, 19, 22, 30}), frozenset({34, 7, 40, 14, 47, 15, 20, 27, 31}), frozenset({37, 8, 41, 43, 12, 18, 21, 23, 29}), frozenset({32, 33, 41, 10, 44, 12, 18, 21, 29})}"
"{34, 7, 40, 41, 14, 15, 16, 47, 26, 27}",17,17,17,"[17, 17, 17]",0,"[[1, 4, 6, 8, 10, 13, 17, 21, 25, 30, 36, 31, 37, 32, 38, 49, 2]]","[[1, 4, 6, 8, 10, 13, 17, 21, 25, 20, 24, 19, 23, 28, 33, 48, 3]]","[[2, 49, 38, 32, 37, 31, 36, 30, 25, 20, 24, 19, 23, 28, 33, 48, 3], [2, 49, 38, 32, 37, 31, 36, 30, 35, 29, 24, 19, 23, 28, 33, 48, 3]]","[[1, 4, 6, 8, 10, 13, 17, 21, 25, 30, 36, 31, 37, 32, 38, 49, 2], [1, 4, 6, 8, 10, 13, 17, 21, 25, 20, 24, 19, 23, 28, 33, 48, 3], [2, 49, 38, 32, 37, 31, 36, 30, 25, 20, 24, 19, 23, 28, 33, 48, 3], [2, 49, 38, 32, 37, 31, 36, 30, 35, 29, 24, 19, 23, 28, 33, 48, 3]]","{24, 25, 30}",3,"[[20, 25, 30, 35, 29, 24]]",1,"{frozenset({36, 38, 40, 10, 14, 15, 46, 22, 24, 28}), frozenset({37, 8, 41, 40, 43, 12, 17, 18, 23, 24}), frozenset({32, 33, 35, 41, 10, 12, 44, 18, 19, 26}), frozenset({35, 37, 6, 39, 9, 45, 14, 16, 19, 22}), frozenset({34, 36, 5, 42, 11, 12, 45, 17, 19, 22})}"
"{33, 37, 40, 10, 12, 18, 21, 26, 29}",19,19,19,"[19, 19, 19]",0,"[[1, 4, 6, 8, 11, 14, 17, 13, 16, 20, 25, 30, 36, 41, 46, 42, 47, 49, 2]]","[[1, 4, 6, 8, 11, 14, 17, 13, 16, 20, 24, 19, 23, 28, 34, 39, 43, 48, 3]]","[[2, 49, 47, 42, 46, 41, 36, 30, 25, 20, 24, 19, 23, 28, 34, 39, 43, 48, 3]]","[[1, 4, 6, 8, 11, 14, 17, 13, 16, 20, 25, 30, 36, 41, 46, 42, 47, 49, 2], [1, 4, 6, 8, 11, 14, 17, 13, 16, 20, 24, 19, 23, 28, 34, 39, 43, 48, 3], [2, 49, 47, 42, 46, 41, 36, 30, 25, 20, 24, 19, 23, 28, 34, 39, 43, 48, 3]]",{20},1,[],0,"{frozenset({34, 40, 10, 47, 15, 16, 20, 22, 31}), frozenset({34, 36, 37, 5, 45, 14, 13, 19, 30}), frozenset({34, 38, 41, 10, 14, 15, 20, 24, 31}), frozenset({37, 41, 10, 43, 17, 18, 19, 21, 29}), frozenset({34, 35, 37, 6, 12, 45, 13, 22, 30})}"
"{6, 39, 38, 9, 11, 12, 44, 46, 21, 23, 30}",17,15,17,"[17, 15, 17]",2,"[[1, 4, 5, 7, 10, 13, 17, 14, 18, 22, 27, 32, 37, 42, 47, 49, 2], [1, 4, 5, 7, 10, 13, 17, 14, 18, 22, 26, 31, 37, 42, 47, 49, 2]]","[[1, 4, 5, 7, 10, 13, 16, 20, 24, 29, 34, 28, 33, 48, 3]]","[[2, 49, 47, 42, 37, 31, 36, 41, 45, 40, 35, 29, 34, 28, 33, 48, 3]]","[[1, 4, 5, 7, 10, 13, 17, 14, 18, 22, 27, 32, 37, 42, 47, 49, 2], [1, 4, 5, 7, 10, 13, 17, 14, 18, 22, 26, 31, 37, 42, 47, 49, 2], [1, 4, 5, 7, 10, 13, 16, 20, 24, 29, 34, 28, 33, 48, 3], [2, 49, 47, 42, 37, 31, 36, 41, 45, 40, 35, 29, 34, 28, 33, 48, 3]]","{29, 37, 13, 31}",4,"[[26, 22, 27, 32, 37, 31], [24, 20, 16, 13, 17, 14, 18, 22, 27, 32, 37, 31, 36, 41, 45, 40, 35, 29]]",2,"{frozenset({38, 6, 41, 9, 44, 46, 20, 21, 23, 27, 28}), frozenset({7, 9, 43, 11, 46, 47, 20, 22, 23, 27, 30}), frozenset({8, 9, 43, 44, 11, 47, 19, 21, 23, 27, 30}), frozenset({32, 33, 5, 40, 11, 44, 46, 20, 21, 23, 27}), frozenset({33, 5, 9, 42, 11, 44, 14, 46, 20, 27, 30})}"
"{34, 37, 7, 11, 45, 21, 25, 28, 31}",15,17,15,"[15, 17, 15]",2,"[[1, 4, 6, 8, 10, 13, 17, 14, 18, 22, 27, 32, 38, 49, 2]]","[[1, 4, 6, 8, 10, 13, 16, 20, 24, 29, 35, 40, 44, 39, 43, 48, 3]]","[[2, 49, 47, 42, 46, 41, 36, 30, 35, 40, 44, 39, 43, 48, 3]]","[[1, 4, 6, 8, 10, 13, 17, 14, 18, 22, 27, 32, 38, 49, 2], [1, 4, 6, 8, 10, 13, 16, 20, 24, 29, 35, 40, 44, 39, 43, 48, 3], [2, 49, 47, 42, 46, 41, 36, 30, 35, 40, 44, 39, 43, 48, 3]]","{49, 35, 13}",3,"[[20, 16, 12, 15, 19, 24], [30, 36, 41, 46, 42, 47, 49, 38, 32, 27, 22, 18, 14, 17, 13, 16, 12, 15, 19, 24, 29, 35]]",2,"{frozenset({37, 7, 10, 44, 18, 25, 28, 30, 31}), frozenset({32, 34, 8, 10, 46, 15, 25, 29, 30}), frozenset({34, 39, 10, 42, 13, 15, 21, 25, 27}), frozenset({32, 34, 37, 8, 9, 45, 20, 25, 29}), frozenset({37, 39, 10, 42, 13, 18, 20, 23, 25})}"
"{34, 8, 44, 45, 15, 47, 20, 22, 31}",19,19,19,"[19, 19, 19]",0,"[[1, 4, 5, 7, 10, 13, 17, 21, 25, 30, 36, 41, 46, 42, 37, 32, 38, 49, 2]]","[[1, 4, 5, 7, 10, 13, 17, 21, 25, 30, 35, 29, 24, 19, 23, 28, 33, 48, 3]]","[[2, 49, 38, 32, 37, 42, 46, 41, 36, 30, 35, 29, 24, 19, 23, 28, 33, 48, 3]]","[[1, 4, 5, 7, 10, 13, 17, 21, 25, 30, 36, 41, 46, 42, 37, 32, 38, 49, 2], [1, 4, 5, 7, 10, 13, 17, 21, 25, 30, 35, 29, 24, 19, 23, 28, 33, 48, 3], [2, 49, 38, 32, 37, 42, 46, 41, 36, 30, 35, 29, 24, 19, 23, 28, 33, 48, 3]]",{30},1,"[[10, 7, 9, 12, 16, 13]]",1,"{frozenset({37, 6, 12, 45, 13, 18, 27, 28, 30}), frozenset({37, 7, 43, 45, 46, 18, 19, 21, 29}), frozenset({33, 40, 9, 10, 42, 15, 18, 21, 29}), frozenset({32, 34, 5, 45, 14, 15, 13, 23, 30}), frozenset({38, 39, 41, 10, 11, 15, 18, 20, 31})}"
"{36, 10, 43, 11, 45, 47, 16, 23, 26, 29}",21,21,21,"[21, 21, 21]",0,"[[1, 4, 5, 7, 9, 12, 15, 19, 24, 20, 25, 21, 17, 14, 18, 22, 27, 32, 38, 49, 2]]","[[1, 4, 5, 7, 9, 12, 15, 19, 24, 20, 25, 30, 35, 40, 44, 39, 34, 28, 33, 48, 3]]","[[2, 49, 38, 32, 27, 22, 18, 14, 17, 21, 25, 30, 35, 40, 44, 39, 34, 28, 33, 48, 3]]","[[1, 4, 5, 7, 9, 12, 15, 19, 24, 20, 25, 21, 17, 14, 18, 22, 27, 32, 38, 49, 2], [1, 4, 5, 7, 9, 12, 15, 19, 24, 20, 25, 30, 35, 40, 44, 39, 34, 28, 33, 48, 3], [2, 49, 38, 32, 27, 22, 18, 14, 17, 21, 25, 30, 35, 40, 44, 39, 34, 28, 33, 48, 3]]",{25},1,[],0,"{frozenset({33, 36, 37, 5, 44, 15, 16, 17, 27, 29}), frozenset({34, 35, 38, 6, 46, 16, 17, 18, 23, 31}), frozenset({35, 9, 10, 43, 45, 47, 17, 24, 27, 31}), frozenset({34, 36, 6, 38, 9, 44, 13, 18, 24, 26}), frozenset({33, 35, 5, 37, 11, 13, 46, 15, 24, 26})}"
"{37, 40, 43, 11, 15, 16, 22, 23, 30}",17,17,19,"[17, 17, 19]",2,"[[1, 4, 5, 7, 10, 13, 17, 21, 26, 31, 36, 41, 46, 42, 47, 49, 2], [1, 4, 6, 8, 10, 13, 17, 21, 26, 31, 36, 41, 46, 42, 47, 49, 2]]","[[1, 4, 5, 7, 10, 13, 17, 21, 25, 20, 24, 29, 34, 28, 33, 48, 3], [1, 4, 6, 8, 10, 13, 17, 21, 25, 20, 24, 29, 34, 28, 33, 48, 3]]","[[2, 49, 47, 42, 46, 41, 36, 31, 26, 21, 25, 20, 24, 29, 34, 28, 33, 48, 3]]","[[1, 4, 5, 7, 10, 13, 17, 21, 26, 31, 36, 41, 46, 42, 47, 49, 2], [1, 4, 6, 8, 10, 13, 17, 21, 26, 31, 36, 41, 46, 42, 47, 49, 2], [1, 4, 5, 7, 10, 13, 17, 21, 25, 20, 24, 29, 34, 28, 33, 48, 3], [1, 4, 6, 8, 10, 13, 17, 21, 25, 20, 24, 29, 34, 28, 33, 48, 3], [2, 49, 47, 42, 46, 41, 36, 31, 26, 21, 25, 20, 24, 29, 34, 28, 33, 48, 3]]",{21},1,"[[8, 6, 4, 5, 7, 10]]",1,"{frozenset({35, 38, 10, 12, 45, 46, 21, 22, 23}), frozenset({37, 6, 41, 9, 44, 14, 15, 21, 24}), frozenset({33, 36, 10, 44, 45, 14, 19, 20, 27}), frozenset({34, 5, 40, 11, 12, 46, 18, 20, 26}), frozenset({34, 41, 9, 47, 17, 18, 19, 27, 30})}"
"{5, 38, 41, 13, 14, 19, 29, 31}",21,19,19,"[21, 19, 19]",2,"[[1, 4, 6, 8, 10, 7, 9, 12, 16, 20, 25, 21, 26, 22, 27, 32, 37, 42, 47, 49, 2]]","[[1, 4, 6, 8, 10, 7, 9, 12, 16, 20, 25, 30, 35, 40, 44, 39, 43, 48, 3]]","[[2, 49, 47, 42, 37, 32, 27, 22, 26, 21, 25, 30, 35, 40, 44, 39, 43, 48, 3]]","[[1, 4, 6, 8, 10, 7, 9, 12, 16, 20, 25, 21, 26, 22, 27, 32, 37, 42, 47, 49, 2], [1, 4, 6, 8, 10, 7, 9, 12, 16, 20, 25, 30, 35, 40, 44, 39, 43, 48, 3], [2, 49, 47, 42, 37, 32, 27, 22, 26, 21, 25, 30, 35, 40, 44, 39, 43, 48, 3]]",{25},1,"[[33, 28, 34, 39, 43, 48]]",1,"{frozenset({6, 40, 12, 13, 47, 22, 29, 31}), frozenset({5, 41, 43, 13, 14, 19, 29, 31}), frozenset({33, 40, 12, 13, 47, 22, 29, 31}), frozenset({38, 41, 43, 13, 14, 19, 29, 31}), frozenset({33, 6, 40, 12, 13, 22, 29, 31})}"
"{34, 39, 9, 13, 47, 16, 20, 27, 31}",19,19,19,"[19, 19, 19]",0,"[[1, 4, 6, 8, 11, 14, 17, 21, 25, 30, 36, 41, 46, 42, 37, 32, 38, 49, 2]]","[[1, 4, 6, 8, 11, 14, 17, 21, 25, 30, 35, 29, 24, 19, 23, 28, 33, 48, 3]]","[[2, 49, 38, 32, 37, 42, 46, 41, 36, 30, 35, 29, 24, 19, 23, 28, 33, 48, 3], [2, 49, 38, 32, 37, 42, 46, 41, 45, 40, 35, 29, 24, 19, 23, 28, 33, 48, 3]]","[[1, 4, 6, 8, 11, 14, 17, 21, 25, 30, 36, 41, 46, 42, 37, 32, 38, 49, 2], [1, 4, 6, 8, 11, 14, 17, 21, 25, 30, 35, 29, 24, 19, 23, 28, 33, 48, 3], [2, 49, 38, 32, 37, 42, 46, 41, 36, 30, 35, 29, 24, 19, 23, 28, 33, 48, 3], [2, 49, 38, 32, 37, 42, 46, 41, 45, 40, 35, 29, 24, 19, 23, 28, 33, 48, 3]]","{41, 35, 30}",3,"[[30, 36, 41, 45, 40, 35], [17, 14, 18, 22, 26, 21], [6, 4, 5, 7, 10, 8]]",3,"{frozenset({33, 7, 10, 44, 21, 26, 27, 29, 31}), frozenset({32, 35, 37, 6, 9, 44, 13, 29, 30}), frozenset({37, 42, 43, 11, 13, 17, 21, 23, 29}), frozenset({34, 36, 5, 11, 13, 46, 28, 30, 31}), frozenset({38, 8, 10, 46, 20, 23, 24, 29, 31})}"
"{37, 7, 43, 45, 46, 18, 19, 21, 29}",19,19,19,"[19, 19, 19]",0,"[[1, 4, 6, 8, 10, 13, 16, 20, 25, 30, 36, 31, 26, 22, 27, 32, 38, 49, 2]]","[[1, 4, 6, 8, 10, 13, 16, 20, 25, 30, 35, 40, 44, 39, 34, 28, 33, 48, 3]]","[[2, 49, 38, 32, 27, 22, 26, 31, 36, 30, 35, 40, 44, 39, 34, 28, 33, 48, 3]]","[[1, 4, 6, 8, 10, 13, 16, 20, 25, 30, 36, 31, 26, 22, 27, 32, 38, 49, 2], [1, 4, 6, 8, 10, 13, 16, 20, 25, 30, 35, 40, 44, 39, 34, 28, 33, 48, 3], [2, 49, 38, 32, 27, 22, 26, 31, 36, 30, 35, 40, 44, 39, 34, 28, 33, 48, 3]]",{30},1,"[[10, 8, 11, 14, 17, 13]]",1,"{frozenset({34, 8, 44, 45, 47, 15, 20, 22, 31}), frozenset({37, 6, 12, 45, 13, 18, 27, 28, 30}), frozenset({32, 34, 5, 45, 14, 15, 13, 23, 30}), frozenset({33, 40, 9, 10, 42, 15, 18, 21, 29}), frozenset({38, 39, 41, 10, 11, 15, 18, 20, 31})}"
