barriers,len12,len13,len23,reward_path_lengths,path_length_difference,optimal_paths_12,optimal_paths_13,optimal_paths_23,optimal_paths_all,choice_points,num_choice_points,cycles,num_cycles,isomorphic_mazes
"{5, 13, 45, 47, 17, 19, 20, 27, 31}",21,19,17,"[21, 19, 17]",4,"[[1, 4, 6, 8, 11, 14, 18, 22, 26, 21, 25, 30, 36, 41, 46, 42, 37, 32, 38, 49, 2]]","[[1, 4, 6, 8, 11, 14, 18, 22, 26, 21, 25, 30, 35, 29, 34, 28, 33, 48, 3], [1, 4, 6, 8, 11, 14, 18, 22, 26, 21, 25, 30, 35, 29, 34, 39, 43, 48, 3], [1, 4, 6, 8, 11, 14, 18, 22, 26, 21, 25, 30, 35, 40, 44, 39, 43, 48, 3]]","[[2, 49, 38, 32, 37, 42, 46, 41, 36, 30, 35, 29, 34, 28, 33, 48, 3], [2, 49, 38, 32, 37, 42, 46, 41, 36, 30, 35, 29, 34, 39, 43, 48, 3], [2, 49, 38, 32, 37, 42, 46, 41, 36, 30, 35, 40, 44, 39, 43, 48, 3]]","[[1, 4, 6, 8, 11, 14, 18, 22, 26, 21, 25, 30, 36, 41, 46, 42, 37, 32, 38, 49, 2], [1, 4, 6, 8, 11, 14, 18, 22, 26, 21, 25, 30, 35, 29, 34, 28, 33, 48, 3], [1, 4, 6, 8, 11, 14, 18, 22, 26, 21, 25, 30, 35, 29, 34, 39, 43, 48, 3], [1, 4, 6, 8, 11, 14, 18, 22, 26, 21, 25, 30, 35, 40, 44, 39, 43, 48, 3], [2, 49, 38, 32, 37, 42, 46, 41, 36, 30, 35, 29, 34, 28, 33, 48, 3], [2, 49, 38, 32, 37, 42, 46, 41, 36, 30, 35, 29, 34, 39, 43, 48, 3], [2, 49, 38, 32, 37, 42, 46, 41, 36, 30, 35, 40, 44, 39, 43, 48, 3]]",{30},1,"[[34, 29, 35, 40, 44, 39], [33, 28, 34, 39, 43, 48]]",2,"{frozenset({33, 36, 38, 44, 14, 15, 21, 29, 31}), frozenset({33, 35, 38, 12, 46, 18, 20, 29, 31}), frozenset({5, 40, 11, 13, 15, 47, 26, 30, 31}), frozenset({6, 41, 9, 43, 13, 18, 24, 29, 30}), frozenset({6, 43, 45, 13, 16, 21, 22, 23, 29})}"
"{35, 36, 5, 39, 11, 44, 13, 15, 26}",21,17,19,"[21, 17, 19]",4,"[[1, 4, 6, 8, 10, 7, 9, 12, 16, 20, 25, 21, 17, 14, 18, 22, 27, 32, 38, 49, 2]]","[[1, 4, 6, 8, 10, 7, 9, 12, 16, 20, 24, 19, 23, 28, 33, 48, 3], [1, 4, 6, 8, 10, 7, 9, 12, 16, 20, 24, 29, 34, 28, 33, 48, 3]]","[[2, 49, 38, 32, 27, 22, 18, 14, 17, 21, 25, 20, 24, 19, 23, 28, 33, 48, 3], [2, 49, 38, 32, 27, 22, 18, 14, 17, 21, 25, 20, 24, 29, 34, 28, 33, 48, 3]]","[[1, 4, 6, 8, 10, 7, 9, 12, 16, 20, 25, 21, 17, 14, 18, 22, 27, 32, 38, 49, 2], [1, 4, 6, 8, 10, 7, 9, 12, 16, 20, 24, 19, 23, 28, 33, 48, 3], [1, 4, 6, 8, 10, 7, 9, 12, 16, 20, 24, 29, 34, 28, 33, 48, 3], [2, 49, 38, 32, 27, 22, 18, 14, 17, 21, 25, 20, 24, 19, 23, 28, 33, 48, 3], [2, 49, 38, 32, 27, 22, 18, 14, 17, 21, 25, 20, 24, 29, 34, 28, 33, 48, 3]]",{20},1,"[[23, 19, 24, 29, 34, 28], [38, 49, 47, 42, 37, 32]]",2,"{frozenset({33, 36, 8, 11, 44, 15, 17, 26, 29}), frozenset({35, 38, 7, 9, 46, 16, 18, 24, 31}), frozenset({45, 47, 16, 17, 23, 24, 27, 28, 31}), frozenset({32, 43, 45, 16, 17, 23, 26, 27, 29}), frozenset({35, 36, 6, 9, 42, 13, 46, 18, 24})}"
"{35, 10, 43, 11, 46, 15, 17, 24, 31}",17,21,21,"[17, 21, 21]",4,"[[1, 4, 5, 7, 9, 12, 16, 20, 25, 21, 26, 22, 27, 32, 38, 49, 2]]","[[1, 4, 5, 7, 9, 12, 16, 20, 25, 30, 36, 41, 45, 40, 44, 39, 34, 28, 33, 48, 3]]","[[2, 49, 38, 32, 27, 22, 26, 21, 25, 30, 36, 41, 45, 40, 44, 39, 34, 28, 33, 48, 3]]","[[1, 4, 5, 7, 9, 12, 16, 20, 25, 21, 26, 22, 27, 32, 38, 49, 2], [1, 4, 5, 7, 9, 12, 16, 20, 25, 30, 36, 41, 45, 40, 44, 39, 34, 28, 33, 48, 3], [2, 49, 38, 32, 27, 22, 26, 21, 25, 30, 36, 41, 45, 40, 44, 39, 34, 28, 33, 48, 3]]",{25},1,"[[38, 49, 47, 42, 37, 32]]",1,"{frozenset({36, 9, 10, 44, 47, 16, 18, 26, 29}), frozenset({33, 35, 37, 9, 45, 13, 24, 26, 27}), frozenset({34, 35, 6, 44, 15, 16, 17, 27, 31}), frozenset({34, 36, 38, 11, 45, 13, 23, 24, 26}), frozenset({36, 5, 37, 46, 16, 17, 18, 23, 29})}"
"{35, 37, 9, 10, 45, 17, 27, 28, 30}",17,19,19,"[17, 19, 19]",2,"[[1, 4, 6, 8, 11, 14, 18, 22, 26, 31, 36, 41, 46, 42, 47, 49, 2]]","[[1, 4, 6, 8, 11, 14, 18, 22, 26, 21, 25, 20, 24, 29, 34, 39, 43, 48, 3]]","[[2, 49, 47, 42, 46, 41, 36, 31, 26, 21, 25, 20, 24, 29, 34, 39, 43, 48, 3]]","[[1, 4, 6, 8, 11, 14, 18, 22, 26, 31, 36, 41, 46, 42, 47, 49, 2], [1, 4, 6, 8, 11, 14, 18, 22, 26, 21, 25, 20, 24, 29, 34, 39, 43, 48, 3], [2, 49, 47, 42, 46, 41, 36, 31, 26, 21, 25, 20, 24, 29, 34, 39, 43, 48, 3]]",{26},1,"[[20, 16, 12, 15, 19, 24]]",1,"{frozenset({34, 35, 37, 7, 46, 17, 18, 21, 23}), frozenset({34, 36, 37, 8, 44, 15, 16, 20, 27}), frozenset({32, 34, 36, 10, 11, 45, 16, 23, 30}), frozenset({34, 9, 10, 42, 44, 18, 21, 24, 26}), frozenset({37, 39, 10, 11, 46, 15, 20, 24, 26})}"
"{35, 37, 9, 10, 45, 17, 27, 28, 31}",19,19,17,"[19, 19, 17]",2,"[[1, 4, 6, 8, 11, 14, 18, 22, 26, 21, 25, 30, 36, 41, 46, 42, 47, 49, 2]]","[[1, 4, 6, 8, 11, 14, 18, 22, 26, 21, 25, 20, 24, 29, 34, 39, 43, 48, 3]]","[[2, 49, 47, 42, 46, 41, 36, 30, 25, 20, 24, 29, 34, 39, 43, 48, 3]]","[[1, 4, 6, 8, 11, 14, 18, 22, 26, 21, 25, 30, 36, 41, 46, 42, 47, 49, 2], [1, 4, 6, 8, 11, 14, 18, 22, 26, 21, 25, 20, 24, 29, 34, 39, 43, 48, 3], [2, 49, 47, 42, 46, 41, 36, 30, 25, 20, 24, 29, 34, 39, 43, 48, 3]]",{25},1,"[[20, 16, 12, 15, 19, 24]]",1,"{frozenset({34, 9, 10, 42, 44, 13, 18, 24, 26}), frozenset({34, 36, 37, 8, 44, 15, 16, 27, 29}), frozenset({32, 34, 36, 10, 11, 45, 16, 23, 29}), frozenset({34, 35, 37, 7, 46, 17, 18, 23, 31}), frozenset({37, 39, 10, 11, 13, 46, 15, 24, 26})}"
"{35, 37, 9, 10, 45, 20, 27, 28, 31}",17,19,23,"[17, 19, 23]",6,"[[1, 4, 6, 8, 11, 14, 17, 21, 25, 30, 36, 41, 46, 42, 47, 49, 2]]","[[1, 4, 6, 8, 11, 14, 17, 13, 16, 12, 15, 19, 24, 29, 34, 39, 43, 48, 3]]","[[2, 49, 47, 42, 46, 41, 36, 30, 25, 21, 17, 13, 16, 12, 15, 19, 24, 29, 34, 39, 43, 48, 3]]","[[1, 4, 6, 8, 11, 14, 17, 21, 25, 30, 36, 41, 46, 42, 47, 49, 2], [1, 4, 6, 8, 11, 14, 17, 13, 16, 12, 15, 19, 24, 29, 34, 39, 43, 48, 3], [2, 49, 47, 42, 46, 41, 36, 30, 25, 21, 17, 13, 16, 12, 15, 19, 24, 29, 34, 39, 43, 48, 3]]",{17},1,"[[14, 18, 22, 26, 21, 17]]",1,"{frozenset({34, 37, 8, 44, 15, 16, 21, 27, 29}), frozenset({34, 37, 7, 46, 17, 18, 20, 23, 31}), frozenset({32, 34, 36, 10, 11, 45, 21, 23, 29}), frozenset({34, 9, 10, 42, 44, 13, 18, 26, 30}), frozenset({37, 39, 10, 11, 13, 46, 15, 24, 30})}"
"{37, 6, 10, 44, 46, 15, 18, 21, 24}",19,17,17,"[19, 17, 17]",2,"[[1, 4, 5, 7, 9, 12, 16, 20, 25, 30, 36, 31, 26, 22, 27, 32, 38, 49, 2]]","[[1, 4, 5, 7, 9, 12, 16, 20, 25, 30, 35, 29, 34, 28, 33, 48, 3], [1, 4, 5, 7, 9, 12, 16, 20, 25, 30, 35, 29, 34, 39, 43, 48, 3]]","[[2, 49, 38, 32, 27, 22, 26, 31, 36, 30, 35, 29, 34, 28, 33, 48, 3], [2, 49, 38, 32, 27, 22, 26, 31, 36, 30, 35, 29, 34, 39, 43, 48, 3]]","[[1, 4, 5, 7, 9, 12, 16, 20, 25, 30, 36, 31, 26, 22, 27, 32, 38, 49, 2], [1, 4, 5, 7, 9, 12, 16, 20, 25, 30, 35, 29, 34, 28, 33, 48, 3], [1, 4, 5, 7, 9, 12, 16, 20, 25, 30, 35, 29, 34, 39, 43, 48, 3], [2, 49, 38, 32, 27, 22, 26, 31, 36, 30, 35, 29, 34, 28, 33, 48, 3], [2, 49, 38, 32, 27, 22, 26, 31, 36, 30, 35, 29, 34, 39, 43, 48, 3]]",{30},1,"[[33, 28, 34, 39, 43, 48], [30, 36, 41, 45, 40, 35]]",2,"{frozenset({34, 5, 10, 44, 46, 15, 18, 20, 26}), frozenset({35, 37, 38, 9, 10, 45, 18, 21, 23}), frozenset({33, 34, 36, 10, 11, 45, 15, 20, 27}), frozenset({34, 37, 9, 45, 47, 17, 18, 23, 30}), frozenset({34, 37, 11, 43, 45, 15, 16, 27, 30})}"
"{37, 6, 10, 44, 46, 15, 18, 21, 30}",23,15,19,"[23, 15, 19]",8,"[[1, 4, 5, 7, 9, 12, 16, 20, 24, 29, 35, 40, 45, 41, 36, 31, 26, 22, 27, 32, 38, 49, 2]]","[[1, 4, 5, 7, 9, 12, 16, 20, 24, 19, 23, 28, 33, 48, 3], [1, 4, 5, 7, 9, 12, 16, 20, 24, 29, 34, 28, 33, 48, 3], [1, 4, 5, 7, 9, 12, 16, 20, 24, 29, 34, 39, 43, 48, 3]]","[[2, 49, 38, 32, 27, 22, 26, 31, 36, 41, 45, 40, 35, 29, 34, 28, 33, 48, 3], [2, 49, 38, 32, 27, 22, 26, 31, 36, 41, 45, 40, 35, 29, 34, 39, 43, 48, 3]]","[[1, 4, 5, 7, 9, 12, 16, 20, 24, 29, 35, 40, 45, 41, 36, 31, 26, 22, 27, 32, 38, 49, 2], [1, 4, 5, 7, 9, 12, 16, 20, 24, 19, 23, 28, 33, 48, 3], [1, 4, 5, 7, 9, 12, 16, 20, 24, 29, 34, 28, 33, 48, 3], [1, 4, 5, 7, 9, 12, 16, 20, 24, 29, 34, 39, 43, 48, 3], [2, 49, 38, 32, 27, 22, 26, 31, 36, 41, 45, 40, 35, 29, 34, 28, 33, 48, 3], [2, 49, 38, 32, 27, 22, 26, 31, 36, 41, 45, 40, 35, 29, 34, 39, 43, 48, 3]]","{24, 48, 28, 29}",4,"[[33, 28, 34, 39, 43, 48], [29, 24, 19, 23, 28, 34]]",2,"{frozenset({37, 38, 9, 10, 45, 18, 20, 21, 23}), frozenset({34, 37, 9, 45, 47, 18, 20, 23, 30}), frozenset({34, 5, 10, 44, 46, 15, 18, 20, 30}), frozenset({33, 34, 10, 11, 45, 15, 20, 21, 27}), frozenset({34, 37, 11, 43, 45, 15, 21, 27, 30})}"
"{37, 6, 10, 44, 46, 15, 21, 24, 30}",17,25,19,"[17, 25, 19]",8,"[[1, 4, 5, 7, 9, 12, 16, 13, 17, 14, 18, 22, 27, 32, 38, 49, 2]]","[[1, 4, 5, 7, 9, 12, 16, 13, 17, 14, 18, 22, 26, 31, 36, 41, 45, 40, 35, 29, 34, 28, 33, 48, 3], [1, 4, 5, 7, 9, 12, 16, 13, 17, 14, 18, 22, 26, 31, 36, 41, 45, 40, 35, 29, 34, 39, 43, 48, 3]]","[[2, 49, 38, 32, 27, 22, 26, 31, 36, 41, 45, 40, 35, 29, 34, 28, 33, 48, 3], [2, 49, 38, 32, 27, 22, 26, 31, 36, 41, 45, 40, 35, 29, 34, 39, 43, 48, 3]]","[[1, 4, 5, 7, 9, 12, 16, 13, 17, 14, 18, 22, 27, 32, 38, 49, 2], [1, 4, 5, 7, 9, 12, 16, 13, 17, 14, 18, 22, 26, 31, 36, 41, 45, 40, 35, 29, 34, 28, 33, 48, 3], [1, 4, 5, 7, 9, 12, 16, 13, 17, 14, 18, 22, 26, 31, 36, 41, 45, 40, 35, 29, 34, 39, 43, 48, 3], [2, 49, 38, 32, 27, 22, 26, 31, 36, 41, 45, 40, 35, 29, 34, 28, 33, 48, 3], [2, 49, 38, 32, 27, 22, 26, 31, 36, 41, 45, 40, 35, 29, 34, 39, 43, 48, 3]]",{22},1,"[[33, 28, 34, 39, 43, 48]]",1,"{frozenset({34, 5, 10, 44, 46, 18, 20, 26, 30}), frozenset({34, 37, 11, 43, 15, 16, 21, 27, 30}), frozenset({35, 37, 38, 9, 10, 45, 20, 21, 23}), frozenset({34, 37, 9, 47, 17, 18, 20, 23, 30}), frozenset({33, 34, 36, 10, 11, 45, 20, 21, 27})}"
"{34, 36, 6, 38, 9, 44, 13, 24, 26, 30}",17,21,23,"[17, 21, 23]",6,"[[1, 4, 5, 7, 10, 8, 11, 14, 18, 22, 27, 32, 37, 42, 47, 49, 2]]","[[1, 4, 5, 7, 10, 8, 11, 14, 17, 21, 25, 20, 16, 12, 15, 19, 23, 28, 33, 48, 3]]","[[2, 49, 47, 42, 37, 32, 27, 22, 18, 14, 17, 21, 25, 20, 16, 12, 15, 19, 23, 28, 33, 48, 3]]","[[1, 4, 5, 7, 10, 8, 11, 14, 18, 22, 27, 32, 37, 42, 47, 49, 2], [1, 4, 5, 7, 10, 8, 11, 14, 17, 21, 25, 20, 16, 12, 15, 19, 23, 28, 33, 48, 3], [2, 49, 47, 42, 37, 32, 27, 22, 18, 14, 17, 21, 25, 20, 16, 12, 15, 19, 23, 28, 33, 48, 3]]",{14},1,[],0,"{frozenset({33, 36, 5, 37, 44, 16, 17, 21, 27, 29}), frozenset({33, 35, 5, 37, 11, 13, 46, 24, 26, 30}), frozenset({34, 35, 38, 6, 46, 16, 17, 20, 23, 31}), frozenset({36, 10, 43, 11, 47, 16, 21, 23, 26, 29}), frozenset({35, 9, 10, 43, 47, 17, 20, 24, 27, 31})}"
"{33, 37, 5, 45, 13, 15, 17, 22, 29, 30}",21,19,21,"[21, 19, 21]",2,"[[1, 4, 6, 8, 10, 7, 9, 12, 16, 20, 25, 21, 26, 31, 36, 41, 46, 42, 47, 49, 2]]","[[1, 4, 6, 8, 10, 7, 9, 12, 16, 20, 24, 19, 23, 28, 34, 39, 43, 48, 3]]","[[2, 49, 47, 42, 46, 41, 36, 31, 26, 21, 25, 20, 24, 19, 23, 28, 34, 39, 43, 48, 3]]","[[1, 4, 6, 8, 10, 7, 9, 12, 16, 20, 25, 21, 26, 31, 36, 41, 46, 42, 47, 49, 2], [1, 4, 6, 8, 10, 7, 9, 12, 16, 20, 24, 19, 23, 28, 34, 39, 43, 48, 3], [2, 49, 47, 42, 46, 41, 36, 31, 26, 21, 25, 20, 24, 19, 23, 28, 34, 39, 43, 48, 3]]",{20},1,[],0,"{frozenset({33, 35, 37, 5, 41, 13, 15, 18, 21, 29}), frozenset({10, 43, 12, 45, 47, 18, 21, 24, 29, 31}), frozenset({34, 38, 6, 13, 45, 16, 18, 19, 30, 31}), frozenset({10, 43, 45, 14, 15, 47, 20, 26, 29, 31}), frozenset({34, 36, 38, 6, 40, 13, 15, 18, 20, 31})}"
"{34, 6, 9, 45, 15, 47, 17, 18, 19, 30}",17,17,19,"[17, 17, 19]",2,"[[1, 4, 5, 7, 10, 13, 16, 20, 25, 21, 26, 22, 27, 32, 38, 49, 2], [1, 4, 5, 7, 10, 13, 16, 20, 25, 21, 26, 31, 37, 32, 38, 49, 2]]","[[1, 4, 5, 7, 10, 13, 16, 20, 24, 29, 35, 40, 44, 39, 43, 48, 3]]","[[2, 49, 38, 32, 27, 22, 26, 21, 25, 20, 24, 29, 35, 40, 44, 39, 43, 48, 3], [2, 49, 38, 32, 37, 31, 26, 21, 25, 20, 24, 29, 35, 40, 44, 39, 43, 48, 3]]","[[1, 4, 5, 7, 10, 13, 16, 20, 25, 21, 26, 22, 27, 32, 38, 49, 2], [1, 4, 5, 7, 10, 13, 16, 20, 25, 21, 26, 31, 37, 32, 38, 49, 2], [1, 4, 5, 7, 10, 13, 16, 20, 24, 29, 35, 40, 44, 39, 43, 48, 3], [2, 49, 38, 32, 27, 22, 26, 21, 25, 20, 24, 29, 35, 40, 44, 39, 43, 48, 3], [2, 49, 38, 32, 37, 31, 26, 21, 25, 20, 24, 29, 35, 40, 44, 39, 43, 48, 3]]",{20},1,"[[37, 42, 46, 41, 36, 31], [22, 27, 32, 37, 31, 26]]",2,"{frozenset({5, 37, 11, 43, 45, 15, 16, 18, 22, 30}), frozenset({33, 37, 6, 41, 44, 45, 15, 18, 21, 24}), frozenset({35, 38, 10, 43, 12, 45, 15, 18, 21, 23}), frozenset({33, 36, 10, 45, 14, 15, 47, 18, 20, 27}), frozenset({34, 5, 38, 40, 45, 46, 15, 18, 20, 26})}"
"{34, 6, 9, 45, 15, 47, 17, 18, 19, 25}",19,17,15,"[19, 17, 15]",4,"[[1, 4, 5, 7, 10, 13, 16, 20, 24, 29, 35, 30, 36, 31, 37, 32, 38, 49, 2]]","[[1, 4, 5, 7, 10, 13, 16, 20, 24, 29, 35, 40, 44, 39, 43, 48, 3]]","[[2, 49, 38, 32, 37, 31, 36, 30, 35, 40, 44, 39, 43, 48, 3]]","[[1, 4, 5, 7, 10, 13, 16, 20, 24, 29, 35, 30, 36, 31, 37, 32, 38, 49, 2], [1, 4, 5, 7, 10, 13, 16, 20, 24, 29, 35, 40, 44, 39, 43, 48, 3], [2, 49, 38, 32, 37, 31, 36, 30, 35, 40, 44, 39, 43, 48, 3]]",{35},1,"[[31, 37, 42, 46, 41, 36], [31, 26, 22, 27, 32, 37]]",2,"{frozenset({33, 37, 6, 41, 44, 45, 15, 18, 24, 25}), frozenset({5, 37, 11, 43, 45, 15, 16, 18, 22, 25}), frozenset({34, 5, 38, 40, 45, 46, 15, 18, 25, 26}), frozenset({35, 38, 10, 43, 12, 45, 15, 18, 23, 25}), frozenset({33, 36, 10, 45, 14, 15, 47, 18, 25, 27})}"
"{34, 6, 9, 45, 15, 47, 17, 18, 25, 31}",21,15,17,"[21, 15, 17]",6,"[[1, 4, 5, 7, 10, 13, 16, 20, 24, 29, 35, 30, 36, 41, 46, 42, 37, 32, 38, 49, 2]]","[[1, 4, 5, 7, 10, 13, 16, 20, 24, 19, 23, 28, 33, 48, 3]]","[[2, 49, 38, 32, 37, 42, 46, 41, 36, 30, 35, 40, 44, 39, 43, 48, 3]]","[[1, 4, 5, 7, 10, 13, 16, 20, 24, 29, 35, 30, 36, 41, 46, 42, 37, 32, 38, 49, 2], [1, 4, 5, 7, 10, 13, 16, 20, 24, 19, 23, 28, 33, 48, 3], [2, 49, 38, 32, 37, 42, 46, 41, 36, 30, 35, 40, 44, 39, 43, 48, 3]]","{24, 48, 35}",3,"[[33, 28, 23, 19, 24, 29, 35, 40, 44, 39, 43, 48]]",1,"{frozenset({33, 36, 10, 45, 15, 47, 18, 25, 27, 29}), frozenset({33, 37, 6, 44, 45, 13, 15, 18, 24, 25}), frozenset({35, 38, 10, 43, 45, 15, 18, 23, 25, 31}), frozenset({34, 5, 38, 45, 46, 15, 13, 18, 25, 26}), frozenset({5, 37, 11, 43, 45, 15, 16, 18, 25, 29})}"
"{34, 37, 11, 46, 15, 16, 26, 28, 30}",15,19,21,"[15, 19, 21]",6,"[[1, 4, 5, 7, 10, 13, 17, 14, 18, 22, 27, 32, 38, 49, 2], [1, 4, 6, 8, 10, 13, 17, 14, 18, 22, 27, 32, 38, 49, 2]]","[[1, 4, 5, 7, 10, 13, 17, 21, 25, 20, 24, 29, 35, 40, 44, 39, 43, 48, 3], [1, 4, 6, 8, 10, 13, 17, 21, 25, 20, 24, 29, 35, 40, 44, 39, 43, 48, 3]]","[[2, 49, 38, 32, 27, 22, 18, 14, 17, 21, 25, 20, 24, 29, 35, 40, 44, 39, 43, 48, 3]]","[[1, 4, 5, 7, 10, 13, 17, 14, 18, 22, 27, 32, 38, 49, 2], [1, 4, 6, 8, 10, 13, 17, 14, 18, 22, 27, 32, 38, 49, 2], [1, 4, 5, 7, 10, 13, 17, 21, 25, 20, 24, 29, 35, 40, 44, 39, 43, 48, 3], [1, 4, 6, 8, 10, 13, 17, 21, 25, 20, 24, 29, 35, 40, 44, 39, 43, 48, 3], [2, 49, 38, 32, 27, 22, 18, 14, 17, 21, 25, 20, 24, 29, 35, 40, 44, 39, 43, 48, 3]]",{17},1,"[[8, 6, 4, 5, 7, 10]]",1,"{frozenset({34, 36, 39, 9, 10, 45, 17, 20, 27}), frozenset({32, 34, 37, 9, 44, 17, 18, 24, 30}), frozenset({34, 35, 8, 10, 46, 18, 20, 23, 26}), frozenset({36, 37, 7, 10, 44, 15, 21, 24, 27}), frozenset({35, 37, 10, 11, 42, 45, 16, 21, 23})}"
"{34, 37, 11, 13, 46, 16, 26, 28, 30}",21,17,21,"[21, 17, 21]",4,"[[1, 4, 5, 7, 9, 12, 15, 19, 24, 20, 25, 21, 17, 14, 18, 22, 27, 32, 38, 49, 2]]","[[1, 4, 5, 7, 9, 12, 15, 19, 24, 29, 35, 40, 44, 39, 43, 48, 3]]","[[2, 49, 38, 32, 27, 22, 18, 14, 17, 21, 25, 20, 24, 29, 35, 40, 44, 39, 43, 48, 3]]","[[1, 4, 5, 7, 9, 12, 15, 19, 24, 20, 25, 21, 17, 14, 18, 22, 27, 32, 38, 49, 2], [1, 4, 5, 7, 9, 12, 15, 19, 24, 29, 35, 40, 44, 39, 43, 48, 3], [2, 49, 38, 32, 27, 22, 18, 14, 17, 21, 25, 20, 24, 29, 35, 40, 44, 39, 43, 48, 3]]",{24},1,"[[5, 4, 6, 8, 10, 7]]",1,"{frozenset({35, 37, 10, 11, 42, 16, 21, 23, 29}), frozenset({32, 34, 37, 9, 44, 13, 17, 24, 30}), frozenset({34, 36, 39, 9, 10, 17, 20, 27, 31}), frozenset({34, 35, 8, 10, 46, 20, 23, 26, 31}), frozenset({36, 37, 7, 10, 44, 21, 24, 27, 29})}"
"{34, 35, 37, 11, 13, 46, 16, 28, 30}",19,23,17,"[19, 23, 17]",6,"[[1, 4, 5, 7, 9, 12, 15, 19, 24, 20, 25, 21, 26, 22, 27, 32, 38, 49, 2]]","[[1, 4, 5, 7, 9, 12, 15, 19, 24, 20, 25, 21, 26, 31, 36, 41, 45, 40, 44, 39, 43, 48, 3]]","[[2, 49, 38, 32, 27, 22, 26, 31, 36, 41, 45, 40, 44, 39, 43, 48, 3]]","[[1, 4, 5, 7, 9, 12, 15, 19, 24, 20, 25, 21, 26, 22, 27, 32, 38, 49, 2], [1, 4, 5, 7, 9, 12, 15, 19, 24, 20, 25, 21, 26, 31, 36, 41, 45, 40, 44, 39, 43, 48, 3], [2, 49, 38, 32, 27, 22, 26, 31, 36, 41, 45, 40, 44, 39, 43, 48, 3]]",{26},1,"[[5, 4, 6, 8, 10, 7], [22, 18, 14, 17, 21, 26]]",2,"{frozenset({37, 7, 10, 44, 17, 21, 24, 27, 29}), frozenset({32, 34, 36, 37, 9, 44, 13, 17, 30}), frozenset({35, 37, 10, 11, 42, 21, 23, 26, 29}), frozenset({34, 36, 39, 9, 10, 20, 24, 27, 31}), frozenset({34, 8, 10, 46, 16, 20, 23, 26, 31})}"
"{32, 34, 37, 10, 12, 45, 18, 19, 21, 25}",21,19,15,"[21, 19, 15]",6,"[[1, 4, 6, 8, 11, 14, 17, 13, 16, 20, 24, 29, 35, 30, 36, 41, 46, 42, 47, 49, 2]]","[[1, 4, 6, 8, 11, 14, 17, 13, 16, 20, 24, 29, 35, 40, 44, 39, 43, 48, 3]]","[[2, 49, 47, 42, 46, 41, 36, 30, 35, 40, 44, 39, 43, 48, 3]]","[[1, 4, 6, 8, 11, 14, 17, 13, 16, 20, 24, 29, 35, 30, 36, 41, 46, 42, 47, 49, 2], [1, 4, 6, 8, 11, 14, 17, 13, 16, 20, 24, 29, 35, 40, 44, 39, 43, 48, 3], [2, 49, 47, 42, 46, 41, 36, 30, 35, 40, 44, 39, 43, 48, 3]]",{35},1,[],0,"{frozenset({34, 37, 39, 10, 45, 14, 15, 22, 25, 30}), frozenset({34, 37, 42, 10, 12, 45, 18, 19, 25, 30}), frozenset({34, 37, 7, 40, 41, 10, 15, 18, 20, 25}), frozenset({34, 37, 8, 41, 10, 40, 15, 18, 21, 25}), frozenset({34, 37, 10, 45, 14, 15, 20, 22, 25, 28})}"
"{32, 34, 37, 40, 10, 12, 45, 18, 21, 25}",21,17,17,"[21, 17, 17]",4,"[[1, 4, 6, 8, 11, 14, 17, 13, 16, 20, 24, 29, 35, 30, 36, 41, 46, 42, 47, 49, 2]]","[[1, 4, 6, 8, 11, 14, 17, 13, 16, 20, 24, 19, 23, 28, 33, 48, 3]]","[[2, 49, 47, 42, 46, 41, 36, 30, 35, 29, 24, 19, 23, 28, 33, 48, 3]]","[[1, 4, 6, 8, 11, 14, 17, 13, 16, 20, 24, 29, 35, 30, 36, 41, 46, 42, 47, 49, 2], [1, 4, 6, 8, 11, 14, 17, 13, 16, 20, 24, 19, 23, 28, 33, 48, 3], [2, 49, 47, 42, 46, 41, 36, 30, 35, 29, 24, 19, 23, 28, 33, 48, 3]]",{24},1,[],0,"{frozenset({34, 37, 8, 41, 10, 15, 18, 19, 21, 25}), frozenset({34, 37, 41, 10, 45, 14, 15, 20, 25, 28}), frozenset({34, 37, 39, 10, 12, 45, 15, 22, 25, 30}), frozenset({34, 37, 7, 40, 10, 15, 18, 20, 22, 25}), frozenset({34, 37, 42, 10, 45, 14, 18, 19, 25, 30})}"
"{32, 34, 37, 40, 10, 12, 45, 16, 21, 25}",17,21,17,"[17, 21, 17]",4,"[[1, 4, 6, 8, 11, 14, 18, 22, 26, 31, 36, 41, 46, 42, 47, 49, 2]]","[[1, 4, 6, 8, 11, 14, 18, 22, 26, 31, 36, 30, 35, 29, 24, 19, 23, 28, 33, 48, 3]]","[[2, 49, 47, 42, 46, 41, 36, 30, 35, 29, 24, 19, 23, 28, 33, 48, 3]]","[[1, 4, 6, 8, 11, 14, 18, 22, 26, 31, 36, 41, 46, 42, 47, 49, 2], [1, 4, 6, 8, 11, 14, 18, 22, 26, 31, 36, 30, 35, 29, 24, 19, 23, 28, 33, 48, 3], [2, 49, 47, 42, 46, 41, 36, 30, 35, 29, 24, 19, 23, 28, 33, 48, 3]]",{36},1,[],0,"{frozenset({34, 37, 39, 10, 12, 15, 22, 25, 26, 30}), frozenset({34, 35, 37, 7, 40, 10, 18, 20, 22, 25}), frozenset({34, 36, 37, 8, 41, 10, 15, 19, 21, 25}), frozenset({34, 37, 42, 10, 14, 18, 19, 24, 25, 30}), frozenset({34, 37, 41, 10, 45, 14, 17, 20, 25, 28})}"
